scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage,raw_total_snr_threshold_db,lp_raw_total_snr_mean_db,cp_raw_total_snr_mean_db,delta_raw_total_snr_mean_db,lp_raw_total_snr_p05_db,cp_raw_total_snr_p05_db,coverage_lp_raw_total_snr,coverage_cp_raw_total_snr,delta_coverage_raw_total_snr,best_port_threshold_db,lp_best_port_snr_mean_db,cp_best_port_snr_mean_db,delta_best_port_snr_mean_db,lp_best_port_outage,cp_best_port_outage,delta_best_port_outage,lp_fixed_single_rate_raw_mean,cp_fixed_single_rate_raw_mean,delta_fixed_single_rate_raw_mean,lp_fixed_single_rate_raw_p05,cp_fixed_single_rate_raw_p05,lp_fixed_egc_rate_raw_mean,cp_fixed_egc_rate_raw_mean,delta_fixed_egc_rate_raw_mean,lp_fixed_egc_rate_raw_p05,cp_fixed_egc_rate_raw_p05,lp_port_power_imbalance_raw_db_mean,cp_port_power_imbalance_raw_db_mean
mixed_office,False,P0,0.0,2016,9.790853257641498e-09,9.790853258594896e-09,9.534007723577795e-19,9.790853257641499e-11,0.5267857142857143,1.0,4.865316047784157e-09,4.865316032718537e-09,-1.5065619994621217e-17,-3.171709246165562e-17,4.865316047784157e-09,0.05009920634920635,0.05009920634920635,0.0,-30.0,-43.66832040422099,-37.647720490901634,6.0205999133193515,-45.9491529754328,-39.92855306211853,0.0,0.005456349206349206,0.005456349206349206,-30.0,-46.176863841856374,-39.569146957823484,6.607716884032894,1.0,1.0,0.0,4.508529502131677e-05,0.00011173864754432898,6.66533525230122e-05,2.6361846858546505e-05,2.88526061037145e-05,6.614880827157732e-05,0.00016830889085175864,0.0001021600825801813,1.380525385778028e-05,2.0322111314378626e-05,-0.7121905928788148,-2.2191250386228814
mixed_office,False,P0,10.0,2016,9.790852839351802e-08,9.790852839758177e-08,4.063752046734824e-18,9.790852839351803e-10,0.5629960317460317,1.0,4.86531598074496e-08,4.865315981617179e-08,8.72218942545315e-18,-3.885344099522416e-17,4.86531598074496e-08,0.05009920634920635,0.05009920634920635,0.0,-30.0,-33.66832040422099,-27.647720490901637,6.020599913319351,-35.949152975432796,-29.92855306211853,0.09126984126984126,0.9583333333333334,0.8670634920634921,-30.0,-36.176863841856374,-29.569146957823484,6.607716884032894,0.9657738095238095,0.5342261904761905,-0.43154761904761907,0.0004507410423535616,0.001115580543875158,0.0006648395015215965,0.00026358507181515874,0.0002884822221829333,0.0006612357251416395,0.001680726501641387,0.0010194907764997476,0.00013804216363601278,0.00020319837750908376,-0.7121905928788148,-2.2191250386228814
mixed_office,False,P0,20.0,2016,9.790848602291847e-07,9.790848602557821e-07,2.6597631876963815e-17,9.790848602291847e-09,0.6631944444444444,1.0,4.865315267519238e-07,4.865315267868126e-07,3.4888863580931004e-17,-5.0747332056781235e-17,4.865315267519238e-07,0.05009920634920635,0.05009920634920635,0.0,-30.0,-23.668320404220992,-17.647720490901637,6.020599913319351,-25.949152975432803,-19.92855306211853,0.9915674603174603,0.9975198412698413,0.005952380952380931,-30.0,-26.176863841856377,-19.56914695782348,6.607716884032893,0.010912698412698412,0.00496031746031746,-0.005952380952380952,0.004496291952486025,0.010984789215697986,0.00648849726321196,0.002632519178866047,0.0028804524023746778,0.006587371241333326,0.016579965871077195,0.00999259462974387,0.0013793857131250914,0.002029677799583915,-0.7121905928788148,-2.2191250386228814
mixed_office,False,P1,0.0,6400,1.3131831950614481e-08,1.3131831950944536e-08,3.300560859602413e-19,1.3131831950614482e-10,0.5303125,1.0,1.797387098970083e-09,1.7973870709004549e-09,-2.8069628176869624e-17,-3.171709411601685e-17,4.865316047784157e-09,0.3390625,0.3390625,0.0,-30.0,-44.08872811496117,-38.06812820154271,6.020599913418462,-50.229606060775545,-44.20900614766668,0.0009375,0.0371875,0.03625,-30.0,-46.18691996102025,-40.335250303653154,5.851669657367097,1.0,0.97,-0.030000000000000027,6.275218367895877e-05,0.00018564765313757483,0.00012289546945861603,4.5980762642263945e-06,1.903356918813726e-05,5.2011482666808865e-05,0.0001996653822211636,0.00014765389955435473,5.6497577609880146e-06,2.3348779476944017e-05,-0.044082158353107526,-0.16756430973514985
mixed_office,False,P1,10.0,6400,1.3131830137219866e-07,1.313183013753902e-07,3.191532054267129e-18,1.3131830137219866e-09,0.56328125,1.0,1.7973870693951913e-08,1.7973870722180123e-08,2.822821007402946e-17,-3.806058903983657e-17,4.86531598074496e-08,0.3390625,0.3390625,0.0,-30.0,-34.08872811496117,-28.06812820154271,6.020599913418462,-40.229606060775545,-34.20900614766668,0.13609375,0.666875,0.53078125,-30.0,-36.18691996102025,-30.33525030365315,5.851669657367097,0.9378125,0.49140625,-0.44640625000000006,0.0006267978289120541,0.0018514653103430204,0.0012246674814309663,4.597962512092142e-05,0.00019031960089750113,0.0005197461754994355,0.001989725122248691,0.0014699789467492552,5.649592649163649e-05,0.0002334650243235477,-0.044082158353107526,-0.16756430973514985
mixed_office,False,P1,20.0,6400,1.3131811952088953e-06,1.3131811952398222e-06,3.0926630034602306e-17,1.3131811952088954e-08,0.69515625,1.0,1.797386973284774e-07,1.7973869733513796e-07,6.660564171395386e-18,-6.343408566163774e-17,4.865315267519238e-07,0.3390625,0.3390625,0.0,-30.0,-24.08872811496117,-18.06812820154271,6.020599913418462,-30.229606060775545,-24.209006147666678,0.939375,0.99953125,0.06015625000000002,-30.0,-26.186919961020248,-20.33525030365315,5.851669657367097,0.2184375,0.003125,-0.21531250000000002,0.006198455138974026,0.018050824461393063,0.011852369322419034,0.00045968255325748187,0.0019016041428806135,0.0051618957781260424,0.019273449521322088,0.014111553743196045,0.0005647942433743234,0.0023323769802598144,-0.044082158353107526,-0.16756430973514985
mixed_office,False,P2,0.0,6400,2.2260394853728083e-08,2.2260394853672086e-08,-5.600039311275446e-20,2.2260394853728084e-10,0.516875,1.0,1.5162676022759428e-09,1.5162676068749214e-09,4.5989786220070245e-18,-3.4888803610336594e-17,4.865316047784157e-09,0.30375,0.30375,0.0,-30.0,-43.037167511916884,-37.01656759858262,6.020599913334265,-50.96058477896645,-44.93998486538367,0.00828125,0.1190625,0.11078125,-30.0,-45.01223471287449,-39.31660398297115,5.695630729903337,0.995,0.94390625,-0.05109375000000005,0.00010789846581181977,0.00027697643774895466,0.0001690779719371349,3.764577643530249e-06,1.5751346851175628e-05,0.00010803854447927487,0.0003503190971622962,0.0002422805526830213,4.744072672016554e-06,1.806523814633619e-05,-0.04178933207967097,-0.0882148264614083
mixed_office,False,P2,10.0,6400,2.2260386522767744e-07,2.2260386522838172e-07,7.0422160448356665e-19,2.2260386522767744e-09,0.529375,1.0,1.516267605235281e-08,1.516267607455478e-08,2.220196770100914e-17,-4.440391554968358e-17,4.86531598074496e-08,0.30375,0.30375,0.0,-30.0,-33.037167511916884,-27.01656759858262,6.020599913334265,-40.96058477896645,-34.93998486538368,0.254375,0.70359375,0.44921875,-30.0,-35.01223471287449,-29.316603982971152,5.695630729903337,0.81671875,0.47765625,-0.33906250000000004,0.0010765839416612025,0.0027499866150580278,0.001673402673396825,3.764504535313688e-05,0.00015750013646641443,0.0010776182986776692,0.0034594942152661886,0.002381875916588519,4.743951460799481e-05,0.0001806348341944717,-0.04178933207967097,-0.0882148264614083
mixed_office,False,P2,20.0,6400,2.2260303184355816e-06,2.226030318444815e-06,9.233381850350649e-18,2.2260303184355817e-08,0.60765625,1.0,1.5162675424843537e-07,1.516267542444707e-07,-3.964670058521761e-18,-1.0783788209731311e-16,4.865315267519238e-07,0.30375,0.30375,0.0,-30.0,-23.03716751191688,-17.01656759858262,6.020599913334265,-30.960584778966453,-24.939984865383675,0.9253125,0.99546875,0.07015625000000003,-30.0,-25.012234712874488,-19.316603982971152,5.695630729903337,0.16859375,0.0146875,-0.15390625,0.010541784496518786,0.026040410885942614,0.015498626389423831,0.0003763773727579201,0.0015736703169661123,0.010526669699727667,0.03188598277466225,0.021359313074934584,0.00047427399389464567,0.001804596813006872,-0.04178933207967097,-0.0882148264614083
straight_corridor,False,P0,0.0,768,2.9043617172650715e-08,2.904361717362948e-08,9.78769882397628e-19,2.904361717265072e-10,0.5390625,1.0,4.002301037096177e-09,4.002301029166904e-09,-7.929273115413906e-18,-3.806051227747573e-17,4.002301037096177e-09,0.05078125,0.05078125,0.0,-30.0,-40.232644342966985,-34.21204442963897,6.0205999133280175,-46.75317181288148,-40.73257189968728,0.0026041666666666665,0.1796875,0.17708333333333334,-30.0,-42.369444174364794,-36.36919905304958,6.00024512131522,0.9986979166666666,0.9309895833333334,-0.06770833333333326,0.0001005628929241265,0.0005384443973116874,0.00043788150438756084,1.2125042871362063e-05,4.382573436016281e-05,0.0001283639957476402,0.0005325456164799769,0.00040418162073233677,1.815575042404873e-05,3.474962181139721e-05,-1.3953050113361252,0.624514780404592
