scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,r0,outage_lp,outage_cp,delta_outage
mixed_office,False,P0,0.0,2016,9.566205666703878e-09,9.566205667570749e-09,8.668709717130249e-19,9.566205666703879e-11,0.5386904761904762,1.0,4.693702801564763e-09,4.693702803150617e-09,-2.8545384208106795e-17,4.693702801564763e-09,0.05009920634920635,0.05009920634920635,0.0
mixed_office,False,P0,10.0,2016,9.566205274579829e-08,9.566205274860658e-08,2.8082843490062644e-18,9.566205274579828e-10,0.5515873015873016,1.0,4.6937027472731196e-08,4.693702748303926e-08,-4.1232213913579654e-17,4.6937027472731196e-08,0.05009920634920635,0.05009920634920635,0.0
mixed_office,False,P0,20.0,2016,9.566201299815432e-07,9.566201300044798e-07,2.2936636765382974e-17,9.566201299815432e-09,0.628968253968254,1.0,4.693702110434594e-07,4.6937021100698474e-07,-4.757582894402432e-17,4.693702110434594e-07,0.05009920634920635,0.05009920634920635,0.0
mixed_office,False,P1,0.0,6400,1.298358873865043e-08,1.2983588738396692e-08,-2.53736750716396e-19,1.298358873865043e-10,0.51046875,1.0,1.7988936780953935e-09,1.798893657003526e-09,-3.171709411601685e-17,4.693702801564763e-09,0.3371875,0.3371875,0.0
mixed_office,False,P1,10.0,6400,1.2983586942369348e-07,1.298358694266848e-07,2.991317613523232e-18,1.2983586942369347e-09,0.56125,1.0,1.7988936639533055e-08,1.7988936683936987e-08,-4.1232213913579654e-17,4.6937027472731196e-08,0.3371875,0.3371875,0.0
mixed_office,False,P1,20.0,6400,1.298356893182817e-06,1.2983568932143471e-06,3.153023200559223e-17,1.298356893182817e-08,0.7021875,1.0,1.7988935834720747e-07,1.7988935835799125e-07,-6.026174610384541e-17,4.693702110434594e-07,0.3371875,0.3371875,0.0
mixed_office,False,P2,0.0,6400,2.221860891944752e-08,2.2218608919690354e-08,2.4283413151701117e-19,2.221860891944752e-10,0.51953125,1.0,1.459433903722313e-09,1.4594338930970866e-09,-3.488880319674629e-17,4.693702801564763e-09,0.2953125,0.2953125,0.0
mixed_office,False,P2,10.0,6400,2.2218600563659181e-07,2.221860056376028e-07,1.010988096388313e-18,2.2218600563659183e-09,0.53046875,1.0,1.459433898143433e-08,1.4594339001416097e-08,-4.1232227148469455e-17,4.6937027472731196e-08,0.2953125,0.2953125,0.0
mixed_office,False,P2,20.0,6400,2.2218516975875997e-06,2.221851697595284e-06,7.684726325494454e-18,2.2218516975876e-08,0.5990625,1.0,1.4594338355988974e-07,1.4594338352135345e-07,-1.1100959696830684e-16,4.693702110434594e-07,0.2953125,0.2953125,0.0
open_office,False,P0,0.0,2000,9.310020104373526e-09,9.310020104514669e-09,1.411410928148525e-19,9.310020104373526e-11,0.5145,1.0,4.862976676181909e-09,4.8629766988596325e-09,-2.854538503528741e-17,4.862976676181909e-09,0.05,0.05,0.0
open_office,False,P0,10.0,2000,9.31001973336593e-08,9.310019733547512e-08,1.8158027640188524e-18,9.310019733365929e-10,0.5365,1.0,4.862976621679314e-08,4.86297661788912e-08,-4.1232227148469455e-17,4.862976621679314e-08,0.05,0.05,0.0
open_office,False,P0,20.0,2000,9.310015974878541e-07,9.310015975089523e-07,2.1098168618923713e-17,9.31001597487854e-09,0.637,1.0,4.862975998263097e-07,4.862975998343975e-07,-5.074722617766283e-17,4.862975998263097e-07,0.05,0.05,0.0
open_office,False,P1,0.0,6400,1.6679140965349208e-08,1.667914096609456e-08,7.453516803024184e-19,1.6679140965349208e-10,0.52390625,1.0,2.173679572710371e-09,2.173679602524439e-09,-3.171709370242654e-17,4.862976676181909e-09,0.3078125,0.3078125,0.0
open_office,False,P1,10.0,6400,1.667913810910044e-07,1.6679138109512962e-07,4.125204284036206e-18,1.6679138109100442e-09,0.57421875,1.0,2.1736795736521795e-08,2.1736795727482425e-08,-3.806052551236553e-17,4.862976621679314e-08,0.3078125,0.3078125,0.0
open_office,False,P1,20.0,6400,1.6679109492576127e-06,1.667910949298883e-06,4.1270327220349536e-17,1.6679109492576127e-08,0.72234375,1.0,2.173679449620609e-07,2.1736794493494276e-07,-6.026227020548153e-17,4.862975998263097e-07,0.3078125,0.3078125,0.0
open_office,False,P2,0.0,6400,2.7642073550563412e-08,2.764207355079336e-08,2.2994884998979916e-19,2.7642073550563414e-10,0.5309375,1.0,2.095015235967797e-09,2.0950152367607243e-09,-3.4888802803835495e-17,4.862976676181909e-09,0.23234375,0.23234375,0.0
open_office,False,P2,10.0,6400,2.764205723492943e-07,2.7642057234999316e-07,6.987736109895577e-19,2.7642057234929433e-09,0.5309375,1.0,2.0950152174204427e-08,2.095015218023068e-08,-4.440392878457338e-17,4.862976621679314e-08,0.23234375,0.23234375,0.0
open_office,False,P2,20.0,6400,2.7641894045777966e-06,2.7641894045873575e-06,9.561377345636827e-18,2.7641894045777965e-08,0.62234375,1.0,2.0950151036941517e-07,2.0950151040065652e-07,-1.2052516509776165e-16,4.862975998263097e-07,0.23234375,0.23234375,0.0
factory_lite,False,P0,0.0,2038,5.822235563303217e-08,5.822235562944494e-08,-3.5872377594477296e-18,5.822235563303217e-10,0.478900883218842,1.0,2.3439014809871926e-10,2.3439013350885597e-10,-5.391904692777496e-17,2.3439014809871926e-10,0.050049067713444556,0.050049067713444556,0.0
factory_lite,False,P0,10.0,2038,5.822233429370718e-07,5.822233429274276e-07,-9.64428987001126e-18,5.822233429370718e-09,0.41952894995093226,1.0,2.3439014316942984e-09,2.343901440099329e-09,-7.29492382155528e-17,2.3439014316942984e-09,0.050049067713444556,0.050049067713444556,0.0
factory_lite,False,P0,20.0,2038,5.822212095861082e-06,5.822212095763158e-06,-9.7923202092423e-17,5.822212095861082e-08,0.3645731108930324,1.0,2.343901425654471e-08,2.3439014261936618e-08,-5.645612659820315e-16,2.343901425654471e-08,0.050049067713444556,0.050049067713444556,0.0
factory_lite,False,P1,0.0,6400,1.1826753402329682e-07,1.1826753402348414e-07,1.8733011659191086e-19,1.1826753402329682e-09,0.51484375,1.0,3.203509437300912e-10,3.203509408755526e-10,-3.806052551236553e-17,2.3439014809871926e-10,0.03703125,0.03703125,0.0
factory_lite,False,P1,10.0,6400,1.182672115788e-06,1.1826721157903974e-06,2.397739156537397e-18,1.1826721157879999e-08,0.54640625,1.0,3.2035095176891843e-09,3.2035095332305597e-09,-6.660588689028742e-17,2.3439014316942984e-09,0.03703125,0.03703125,0.0
factory_lite,False,P1,20.0,6400,1.1826398747119874e-05,1.1826398747147588e-05,2.7714717288088917e-17,1.1826398747119874e-07,0.53828125,1.0,3.2035094968005814e-08,3.203509492169886e-08,-4.854286528408086e-16,2.343901425654471e-08,0.03703125,0.03703125,0.0
factory_lite,False,P2,0.0,6400,1.257195020319299e-07,1.2571950203275305e-07,8.23157868879241e-19,1.257195020319299e-09,0.5359375,1.0,2.3867957250213496e-10,2.386795834445324e-10,-3.806051889492063e-17,2.3439014809871926e-10,0.049375,0.049375,0.0
