scenario_name,proxy,protocol,snr_db,samples,lp_rate_mean,cp_rate_mean,delta_rate_mean,epsilon,noninferiority_prob_0,noninferiority_prob_epsilon,lp_rate_p05,cp_rate_p05,delta_rate_p05,delta_rate_distribution_p05,r0,outage_lp,outage_cp,delta_outage
mixed_office,False,P0,0.0,345,9.350274570294433e-09,9.350274572416787e-09,2.122352848200092e-18,9.350274570294433e-11,0.5478260869565217,1.0,4.858228532805745e-09,4.8582285541619225e-09,2.1356177179034895e-17,-6.101764872845087e-17,4.858228532805745e-09,0.05217391304347826,0.05217391304347826,0.0
mixed_office,False,P0,10.0,345,9.350274182354787e-08,9.350274182995915e-08,6.411275450677549e-18,9.350274182354787e-10,0.5739130434782609,1.0,4.8582284756918094e-08,4.8582284732511045e-08,-2.440704923434075e-17,-7.627206111735874e-17,4.8582284756918094e-08,0.05217391304347826,0.05217391304347826,0.0
mixed_office,False,P0,20.0,345,9.350270258785674e-07,9.350270259047873e-07,2.621985224959366e-17,9.350270258785674e-09,0.6492753623188405,1.0,4.858227855768981e-07,4.858227854701172e-07,-1.0678089085825815e-16,-9.152635687380024e-17,4.858227855768981e-07,0.05217391304347826,0.05217391304347826,0.0
mixed_office,False,P1,0.0,192,1.5115322082604473e-08,1.5115322082525024e-08,-7.944949583889069e-20,1.5115322082604473e-10,0.515625,1.0,2.2477875179231623e-09,2.247787479024412e-09,-3.889875022686706e-17,-6.101764790127025e-17,4.858228532805745e-09,0.2864583333333333,0.2864583333333333,0.0
mixed_office,False,P1,10.0,192,1.5115320204206283e-07,1.511532020454792e-07,3.4163530374013323e-18,1.5115320204206283e-09,0.5572916666666666,1.0,2.2477874784116826e-08,2.2477874812337486e-08,2.822065956939808e-17,-9.152644819453987e-17,4.8582284756918094e-08,0.2864583333333333,0.2864583333333333,0.0
mixed_office,False,P1,20.0,192,1.5115301350070988e-06,1.5115301350253724e-06,1.827345742937483e-17,1.5115301350070988e-08,0.6458333333333334,1.0,2.2477873281531e-07,2.2477873283056441e-07,1.5254401635559907e-17,-9.83922259497423e-17,4.858227855768981e-07,0.2864583333333333,0.2864583333333333,0.0
mixed_office,False,P2,0.0,192,2.6148853095778936e-08,2.6148853098559686e-08,2.780752851853671e-18,2.614885309577894e-10,0.5520833333333334,1.0,2.575373222977265e-09,2.5753732214518234e-09,-1.5254414043269095e-18,-7.62720606624094e-17,4.858228532805745e-09,0.19791666666666666,0.19791666666666666,0.0
mixed_office,False,P2,10.0,192,2.6148845225610273e-07,2.614884522577712e-07,1.6684499462448175e-18,2.6148845225610275e-09,0.5364583333333334,1.0,2.575373211218e-08,2.5753732115230882e-08,3.0508836358344315e-18,-9.152645911332394e-17,4.8582284756918094e-08,0.19791666666666666,0.19791666666666666,0.0
mixed_office,False,P2,20.0,192,2.6148766501971913e-06,2.614876650211095e-06,1.390391899481875e-17,2.6148766501971914e-08,0.5989583333333334,1.0,2.575372995409858e-07,2.5753729959590167e-07,5.4915845888015664e-17,-1.2203517867376578e-16,4.858227855768981e-07,0.19791666666666666,0.19791666666666666,0.0
open_office,False,P0,0.0,343,9.389153290787403e-09,9.389153292210554e-09,1.423152033939929e-18,9.389153290787404e-11,0.5393586005830904,1.0,4.822489516813944e-09,4.8224895213902676e-09,4.576323799390422e-18,-6.101764790127025e-17,4.822489516813944e-09,0.052478134110787174,0.052478134110787174,0.0
