plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
L2-M2,abs_XPD_early_excess_db,A4,0,A4_0,glass,34.58578899083842,34.58578899083842,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,1,A4_1,glass,34.53422199430056,34.53422199430056,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,2,A4_2,glass,34.688727435394924,34.688727435394924,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,3,A4_3,glass,34.58162297170228,34.58162297170228,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,4,A4_4,glass,34.453509123691916,34.453509123691916,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,5,A4_5,glass,34.40713920875212,34.40713920875212,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,6,A4_6,glass,34.59562011377849,34.59562011377849,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,7,A4_7,glass,34.52423633307142,34.52423633307142,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,8,A4_8,glass,34.194073251128685,34.194073251128685,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,9,A4_9,glass,34.08173605517913,34.08173605517913,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,10,A4_10,glass,34.02130693869577,34.02130693869577,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,11,A4_11,glass,34.15422695397367,34.15422695397367,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,12,A4_12,glass,33.68095585386041,33.68095585386041,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,13,A4_13,glass,34.10220345418689,34.10220345418689,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,14,A4_14,glass,33.896779708294794,33.896779708294794,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,15,A4_15,wood,26.30898221830988,26.30898221830988,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,16,A4_16,wood,26.346583885141925,26.346583885141925,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,17,A4_17,wood,26.392175641273194,26.392175641273194,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,18,A4_18,wood,26.53776175033758,26.53776175033758,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,19,A4_19,wood,26.663938291115027,26.663938291115027,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,20,A4_20,wood,26.163447709216282,26.163447709216282,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,21,A4_21,wood,26.46244723235525,26.46244723235525,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,22,A4_22,wood,26.0561157437828,26.0561157437828,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,23,A4_23,wood,26.259456622806024,26.259456622806024,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,24,A4_24,wood,26.36984860688495,26.36984860688495,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,25,A4_25,wood,25.992525392557003,25.992525392557003,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,26,A4_26,wood,25.825023167990793,25.825023167990793,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,27,A4_27,wood,25.789377960578463,25.789377960578463,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,28,A4_28,wood,25.882177823853887,25.882177823853887,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,29,A4_29,wood,26.017761944849035,26.017761944849035,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,30,A4_30,gypsum,30.28590440838112,30.28590440838112,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,31,A4_31,gypsum,30.44599288516261,30.44599288516261,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,32,A4_32,gypsum,30.45598299530191,30.45598299530191,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,33,A4_33,gypsum,30.595997073651173,30.595997073651173,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,34,A4_34,gypsum,30.530759800258338,30.530759800258338,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,35,A4_35,gypsum,30.304871565160447,30.304871565160447,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,36,A4_36,gypsum,30.103031387927658,30.103031387927658,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,37,A4_37,gypsum,30.2078743385832,30.2078743385832,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,38,A4_38,gypsum,30.390592079610276,30.390592079610276,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,39,A4_39,gypsum,30.53248315073721,30.53248315073721,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,40,A4_40,gypsum,29.775350176122963,29.775350176122963,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,41,A4_41,gypsum,30.329947713900737,30.329947713900737,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,42,A4_42,gypsum,30.296338064314213,30.296338064314213,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,43,A4_43,gypsum,30.183425327945265,30.183425327945265,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,44,A4_44,gypsum,30.080054235063173,30.080054235063173,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,0,A4_0,glass,34.58578899083842,34.58578899083842,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,1,A4_1,glass,34.688727435394924,34.688727435394924,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,2,A4_2,glass,34.453509123691916,34.453509123691916,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,3,A4_3,glass,34.821442859635134,34.821442859635134,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,4,A4_4,glass,34.41989596405814,34.41989596405814,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,5,A4_5,glass,34.210165398357105,34.210165398357105,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,6,A4_6,glass,33.869814287433144,33.869814287433144,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,7,A4_7,glass,34.08563815818423,34.08563815818423,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,8,A4_8,glass,34.22596848697491,34.22596848697491,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,9,A4_9,glass,34.41714630020479,34.41714630020479,incidence_deg=56.3099
L2-M2,abs_XPD_early_excess_db,A4,10,A4_10,glass,34.12025484440545,34.12025484440545,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,11,A4_11,glass,34.0129229010443,34.0129229010443,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,12,A4_12,glass,34.326655696309416,34.326655696309416,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,13,A4_13,glass,33.997261994325584,33.997261994325584,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,14,A4_14,glass,34.05441664806378,34.05441664806378,incidence_deg=50.1944
L2-M2,abs_XPD_early_excess_db,A4,15,A4_15,wood,26.253512063625433,26.253512063625433,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,16,A4_16,wood,26.42359066422996,26.42359066422996,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,17,A4_17,wood,26.498367475575456,26.498367475575456,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,18,A4_18,wood,26.324669964224782,26.324669964224782,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,19,A4_19,wood,26.61223072185983,26.61223072185983,incidence_deg=63.4349
L2-M2,abs_XPD_early_excess_db,A4,20,A4_20,wood,25.937341612378994,25.937341612378994,incidence_deg=56.3099
