plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
R2-1,XPD_vs_DS,B1,0,B1_0,-31.92392033195903,nan,nan,
R2-1,XPD_vs_DS,B1,1,B1_1,-31.704114280048838,nan,nan,
R2-1,XPD_vs_DS,B1,2,B1_2,-32.39789234879092,nan,nan,
R2-1,XPD_vs_DS,B1,3,B1_3,-31.784012553767816,6.203365199767381,6.203365199767381,
R2-1,XPD_vs_DS,B1,4,B1_4,-31.96805217476047,nan,nan,
R2-1,XPD_vs_DS,B1,5,B1_5,-30.907181254640196,nan,nan,
R2-1,XPD_vs_DS,B1,6,B1_6,-32.8037879608195,nan,nan,
R2-1,XPD_vs_DS,B1,7,B1_7,-32.55414184512857,nan,nan,
R2-1,XPD_vs_DS,B1,8,B1_8,-32.69219502849596,nan,nan,
R2-1,XPD_vs_DS,B1,9,B1_9,-31.805770598536775,nan,nan,
R2-1,XPD_vs_DS,B1,10,B1_10,-32.06105252785715,nan,nan,
R2-1,XPD_vs_DS,B1,11,B1_11,-30.66113834961785,nan,nan,
R2-1,XPD_vs_DS,B1,12,B1_12,-32.513834593488326,nan,nan,
R2-1,XPD_vs_DS,B1,13,B1_13,-30.529961801578693,nan,nan,
R2-1,XPD_vs_DS,B1,14,B1_14,-31.971285629868838,nan,nan,
R2-1,XPD_vs_DS,B1,15,B1_15,-31.937843435700724,nan,nan,
R2-1,XPD_vs_DS,B1,16,B1_16,-32.7989102597471,nan,nan,
R2-1,XPD_vs_DS,B1,17,B1_17,-31.49041884679284,nan,nan,
R2-1,XPD_vs_DS,B1,18,B1_18,-32.037502479645056,nan,nan,
R2-1,XPD_vs_DS,B1,19,B1_19,-32.31090600327979,nan,nan,
R2-1,XPD_vs_DS,B1,20,B1_20,-32.03235424589861,nan,nan,
R2-1,XPD_vs_DS,B1,21,B1_21,-30.295703737544308,nan,nan,
R2-1,XPD_vs_DS,B1,22,B1_22,-30.655686497167768,nan,nan,
R2-1,XPD_vs_DS,B1,23,B1_23,-31.971046351424896,nan,nan,
R2-1,XPD_vs_DS,B1,24,B1_24,-32.26670496816988,nan,nan,
R2-1,XPD_vs_DS,B1,25,B1_25,-30.987888152800977,nan,nan,
R2-1,XPD_vs_DS,B1,26,B1_26,-31.077179768686086,nan,nan,
R2-1,XPD_vs_DS,B1,27,B1_27,-31.39305468062042,nan,nan,
R2-1,XPD_vs_DS,B1,28,B1_28,-32.145863649850305,nan,nan,
R2-1,XPD_vs_DS,B1,29,B1_29,-30.73287063063306,nan,nan,
R2-1,XPD_vs_DS,B1,30,B1_30,-32.285656701867104,nan,nan,
R2-1,XPD_vs_DS,B1,31,B1_31,-31.973087908605077,nan,nan,
R2-1,XPD_vs_DS,B1,32,B1_32,-30.594443108029612,nan,nan,
R2-1,XPD_vs_DS,B1,33,B1_33,-31.736917327058585,nan,nan,
R2-1,XPD_vs_DS,B1,34,B1_34,-31.77824525298513,nan,nan,
R2-1,XPD_vs_DS,B1,35,B1_35,-31.98197390185502,nan,nan,
R2-1,XPD_vs_DS,B1,36,B1_36,-31.84825737651672,nan,nan,
R2-1,XPD_vs_DS,B1,37,B1_37,-32.32283151901669,nan,nan,
R2-1,XPD_vs_DS,B1,38,B1_38,-30.78940236859841,nan,nan,
R2-1,XPD_vs_DS,B1,39,B1_39,-31.720075971818737,nan,nan,
R2-1,XPD_vs_DS,B1,40,B1_40,-31.930146288536932,nan,nan,
R2-1,XPD_vs_DS,B1,41,B1_41,-31.276924162615032,nan,nan,
R2-1,XPD_vs_DS,B1,42,B1_42,nan,nan,nan,
R2-1,XPD_vs_DS,B1,43,B1_43,-31.529745291205057,nan,nan,
R2-1,XPD_vs_DS,B1,44,B1_44,-31.310090486162814,nan,nan,
R2-1,XPD_vs_DS,B1,45,B1_45,-30.75554280300313,nan,nan,
R2-1,XPD_vs_DS,B1,46,B1_46,-31.554710964756204,nan,nan,
R2-1,XPD_vs_DS,B1,47,B1_47,-33.183287619935356,nan,nan,
R2-1,XPD_vs_DS,B1,48,B1_48,nan,nan,nan,
R2-1,XPD_vs_DS,B2,0,B2_0,-31.90179747094695,nan,nan,
R2-1,XPD_vs_DS,B2,1,B2_1,-31.975172878944846,nan,nan,
R2-1,XPD_vs_DS,B2,2,B2_2,-33.591169718581234,nan,nan,
R2-1,XPD_vs_DS,B2,3,B2_3,-32.41497815266064,nan,nan,
R2-1,XPD_vs_DS,B2,4,B2_4,-31.950536165797008,nan,nan,
R2-1,XPD_vs_DS,B2,5,B2_5,-32.88261792450673,nan,nan,
R2-1,XPD_vs_DS,B2,6,B2_6,-32.550255474069054,nan,nan,
R2-1,XPD_vs_DS,B2,7,B2_7,-31.516372005691807,nan,nan,
R2-1,XPD_vs_DS,B2,8,B2_8,-31.752574722828708,nan,nan,
R2-1,XPD_vs_DS,B2,9,B2_9,-31.6905852500821,nan,nan,
R2-1,XPD_vs_DS,B2,10,B2_10,-31.46104743137726,nan,nan,
R2-1,XPD_vs_DS,B2,11,B2_11,-31.96084687658795,nan,nan,
R2-1,XPD_vs_DS,B2,12,B2_12,-30.721734503368587,nan,nan,
R2-1,XPD_vs_DS,B2,13,B2_13,-31.87851537652423,nan,nan,
R2-1,XPD_vs_DS,B2,14,B2_14,-32.389636024064366,nan,nan,
R2-1,XPD_vs_DS,B2,15,B2_15,-32.69858283642816,nan,nan,
R2-1,XPD_vs_DS,B2,16,B2_16,-30.986156787475746,nan,nan,
R2-1,XPD_vs_DS,B2,17,B2_17,-31.06522201012921,nan,nan,
R2-1,XPD_vs_DS,B2,18,B2_18,-32.435433484205745,nan,nan,
R2-1,XPD_vs_DS,B2,19,B2_19,-31.9027887295643,nan,nan,
R2-1,XPD_vs_DS,B2,20,B2_20,-27.04844409604651,nan,nan,
R2-1,XPD_vs_DS,B2,21,B2_21,-29.879196706996296,nan,nan,
R2-1,XPD_vs_DS,B2,22,B2_22,-30.655703596740285,nan,nan,
R2-1,XPD_vs_DS,B2,23,B2_23,-31.9640414407567,nan,nan,
R2-1,XPD_vs_DS,B2,24,B2_24,-32.36266401036838,nan,nan,
R2-1,XPD_vs_DS,B2,25,B2_25,-32.22337802574899,nan,nan,
R2-1,XPD_vs_DS,B2,26,B2_26,-31.513470443699163,nan,nan,
R2-1,XPD_vs_DS,B2,27,B2_27,-30.04913339430494,nan,nan,
R2-1,XPD_vs_DS,B2,28,B2_28,-31.570814447551083,nan,nan,
R2-1,XPD_vs_DS,B2,29,B2_29,-31.279491163156973,nan,nan,
R2-1,XPD_vs_DS,B2,30,B2_30,-32.36944316709217,nan,nan,
R2-1,XPD_vs_DS,B2,31,B2_31,-32.19478776267997,nan,nan,
R2-1,XPD_vs_DS,B2,32,B2_32,-32.51223576299609,nan,nan,
R2-1,XPD_vs_DS,B2,33,B2_33,-31.992444432596386,nan,nan,
R2-1,XPD_vs_DS,B2,34,B2_34,-31.734960808682366,nan,nan,
R2-1,XPD_vs_DS,B2,35,B2_35,-31.224219630866692,nan,nan,
R2-1,XPD_vs_DS,B2,36,B2_36,-30.98956836500939,nan,nan,
R2-1,XPD_vs_DS,B2,37,B2_37,-32.657899597302894,nan,nan,
R2-1,XPD_vs_DS,B2,38,B2_38,-31.486366354672096,nan,nan,
R2-1,XPD_vs_DS,B2,39,B2_39,-30.668186870658687,nan,nan,
R2-1,XPD_vs_DS,B2,40,B2_40,-27.025959634946613,nan,nan,
R2-1,XPD_vs_DS,B2,41,B2_41,-30.938515365857295,nan,nan,
R2-1,XPD_vs_DS,B2,42,B2_42,-31.05696307978782,nan,nan,
R2-1,XPD_vs_DS,B2,43,B2_43,-30.75616707856102,nan,nan,
R2-1,XPD_vs_DS,B2,44,B2_44,-31.390730393770554,nan,nan,
R2-1,XPD_vs_DS,B2,45,B2_45,-31.523541837728907,nan,nan,
R2-1,XPD_vs_DS,B2,46,B2_46,-31.260247260573646,nan,nan,
R2-1,XPD_vs_DS,B2,47,B2_47,-31.479821655854373,nan,nan,
R2-1,XPD_vs_DS,B2,48,B2_48,-32.72345726581317,nan,nan,
R2-1,XPD_vs_DS,B2,49,B2_49,-31.961040004731046,nan,nan,
R2-1,XPD_vs_DS,B2,50,B2_50,-26.930263821102308,nan,nan,
R2-1,XPD_vs_DS,B2,51,B2_51,-33.00758663465825,nan,nan,
R2-1,XPD_vs_DS,B2,52,B2_52,-32.38239946784559,nan,nan,
R2-1,XPD_vs_DS,B2,53,B2_53,-30.347157863313374,5.972696717778369,5.972696717778369,
R2-1,XPD_vs_DS,B2,54,B2_54,-31.220421884587182,6.472426528119564,6.472426528119564,
R2-1,XPD_vs_DS,B2,55,B2_55,-31.08192219761915,6.6565835076741715,6.6565835076741715,
R2-1,XPD_vs_DS,B2,56,B2_56,-30.941185349419662,6.192859392471618,6.192859392471618,
R2-1,XPD_vs_DS,B2,57,B2_57,-23.61455554898677,2.3611251107800952,2.3611251107800952,
R2-1,XPD_vs_DS,B2,58,B2_58,-33.70482252303965,nan,nan,
R2-1,XPD_vs_DS,B2,59,B2_59,-30.930535871358337,nan,nan,
R2-1,XPD_vs_DS,B2,60,B2_60,-26.432691386624594,nan,nan,
R2-1,XPD_vs_DS,B2,61,B2_61,-30.599906235732448,nan,nan,
R2-1,XPD_vs_DS,B2,62,B2_62,-21.076832707508284,2.3259228574855406,2.3259228574855406,
R2-1,XPD_vs_DS,B2,63,B2_63,-21.9605529873681,2.0431203326668155,2.0431203326668155,
R2-1,XPD_vs_DS,B2,64,B2_64,-33.10120647594093,6.173380983302887,6.173380983302887,
R2-1,XPD_vs_DS,B2,65,B2_65,-32.316405079416135,6.393779094873755,6.393779094873755,
R2-1,XPD_vs_DS,B2,66,B2_66,-33.51041780127575,5.3468305718848645,5.3468305718848645,
R2-1,XPD_vs_DS,B2,67,B2_67,-21.207567790561345,2.19262674545279,2.19262674545279,
R2-1,XPD_vs_DS,B2,68,B2_68,-31.807287260985845,nan,nan,
R2-1,XPD_vs_DS,B2,69,B2_69,-31.523633325820086,nan,nan,
R2-1,XPD_vs_DS,B2,70,B2_70,-26.799803184252628,nan,nan,
R2-1,XPD_vs_DS,B2,71,B2_71,-23.941520482598758,2.6457686136143166,2.6457686136143166,
R2-1,XPD_vs_DS,B2,72,B2_72,-24.207760106247232,1.7131481846664187,1.7131481846664187,
R2-1,XPD_vs_DS,B2,73,B2_73,-21.87178575885832,0.8581611653426995,0.8581611653426995,
R2-1,XPD_vs_DS,B2,74,B2_74,-31.528765708142803,5.658344402726671,5.658344402726671,
R2-1,XPD_vs_DS,B2,75,B2_75,-32.58609284409741,6.2095657019055714,6.2095657019055714,
R2-1,XPD_vs_DS,B2,76,B2_76,-21.587149728396763,0.5814078089307263,0.5814078089307263,
