EL_proxy_db,LOSflag,L_pol_db,XPD_early_excess_db,XPD_late_excess_db,case_id,case_label,flags,link_id,reasons,scenario_id,scene_source,severity
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,12,A3_12,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_12,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,13,A3_13,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_13,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,14,A3_14,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_14,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,15,A3_15,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_15,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
2.7199659283313338,0.0,-7.99999976960412,-32.93483746637157,-24.93483769676745,16,A3_16,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A3_16,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-1 rays""]",A3,fallback_layout,FAIL
2.7199659283313338,0.0,-7.99999976960412,-32.93483746637157,-24.93483769676745,17,A3_17,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A3_17,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-1 rays""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,2,A3_2,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_2,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,3,A3_3,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_3,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,4,A3_4,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_4,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,5,A3_5,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_5,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,6,A3_6,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_6,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
nan,0.0,0.0,-24.93483769676745,-24.93483769676745,7,A3_7,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": true, ""target_tau_outside_early"": false, ""effect_within_floor_uncert"": false, ""metric_missing"": true}",A3_7,"[""scene_debug missing -> fallback spatial layout"", ""target bounce n=2 missing in top-0 rays"", ""missing/NaN in key metrics""]",A3,fallback_layout,FAIL
2.7199659283313338,0.0,-7.9999998595147055,-32.934837556282154,-24.93483769676745,0,A2_0,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_0,"[""scene_debug missing -> fallback spatial layout"", ""target tau 16.678ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.7199659283313338,0.0,-7.9999998595147055,-32.934837556282154,-24.93483769676745,1,A2_1,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_1,"[""scene_debug missing -> fallback spatial layout"", ""target tau 16.678ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.719965928331348,0.0,-7.999999657215893,-32.93483735398334,-24.93483769676745,10,A2_10,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_10,"[""scene_debug missing -> fallback spatial layout"", ""target tau 26.052ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.719965928331348,0.0,-7.999999657215893,-32.93483735398334,-24.93483769676745,11,A2_11,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_11,"[""scene_debug missing -> fallback spatial layout"", ""target tau 26.052ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.719965928331348,0.0,-7.999999589782957,-32.934837286550405,-24.93483769676745,12,A2_12,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_12,"[""scene_debug missing -> fallback spatial layout"", ""target tau 28.500ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.719965928331348,0.0,-7.999999589782957,-32.934837286550405,-24.93483769676745,13,A2_13,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_13,"[""scene_debug missing -> fallback spatial layout"", ""target tau 28.500ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.7199659283313338,0.0,-7.99999955044708,-32.93483724721453,-24.93483769676745,14,A2_14,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_14,"[""scene_debug missing -> fallback spatial layout"", ""target tau 29.835ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.7199659283313338,0.0,-7.99999955044708,-32.93483724721453,-24.93483769676745,15,A2_15,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_15,"[""scene_debug missing -> fallback spatial layout"", ""target tau 29.835ns >= Te 3.000ns""]",A2,fallback_layout,WARN
2.7199659283313338,0.0,-7.99999949987238,-32.934837196639826,-24.93483769676745,16,A2_16,"{""scene_fallback"": true, ""los_block_violation"": false, ""target_bounce_missing"": false, ""target_tau_outside_early"": true, ""effect_within_floor_uncert"": false, ""metric_missing"": false}",A2_16,"[""scene_debug missing -> fallback spatial layout"", ""target tau 31.468ns >= Te 3.000ns""]",A2,fallback_layout,WARN
