plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
L2-S1,L_pol_db,A5,0,A5_0,base,6.100583967207074,6.100583967207074,
L2-S1,L_pol_db,A5,1,A5_1,base,5.894315910701835,5.894315910701835,
L2-S1,L_pol_db,A5,2,A5_2,base,6.512337887283287,6.512337887283287,
L2-S1,L_pol_db,A5,3,A5_3,base,6.083919884960894,6.083919884960894,
L2-S1,L_pol_db,A5,4,A5_4,base,5.571464319136389,5.571464319136389,
L2-S1,L_pol_db,A5,5,A5_5,base,6.2892758237812885,6.2892758237812885,
L2-S1,L_pol_db,A5,6,A5_6,base,7.043199769732878,7.043199769732878,
L2-S1,L_pol_db,A5,7,A5_7,base,6.757664522505436,6.757664522505436,
L2-S1,L_pol_db,A5,8,A5_8,base,5.437011635518219,5.437011635518219,
L2-S1,L_pol_db,A5,9,A5_9,base,4.987662667856639,4.987662667856639,
L2-S1,L_pol_db,A5,10,A5_10,base,5.501380251044196,5.501380251044196,
L2-S1,L_pol_db,A5,11,A5_11,base,6.033060577462761,6.033060577462761,
L2-S1,L_pol_db,A5,12,A5_12,base,4.139975259343483,4.139975259343483,
L2-S1,L_pol_db,A5,13,A5_13,base,5.824966473786114,5.824966473786114,
L2-S1,L_pol_db,A5,14,A5_14,base,5.003271086207032,5.003271086207032,
L2-S1,L_pol_db,A5,15,A5_15,base,5.414185941487387,5.414185941487387,
L2-S1,L_pol_db,A5,16,A5_16,base,5.564592631715745,5.564592631715745,
L2-S1,L_pol_db,A5,17,A5_17,base,5.746959683823772,5.746959683823772,
L2-S1,L_pol_db,A5,18,A5_18,base,6.329304206677348,6.329304206677348,
L2-S1,L_pol_db,A5,19,A5_19,base,6.834010442751808,6.834010442751808,
L2-S1,L_pol_db,A5,20,A5_20,base,5.897172070830416,5.897172070830416,
L2-S1,L_pol_db,A5,21,A5_21,base,7.093170506736952,7.093170506736952,
L2-S1,L_pol_db,A5,22,A5_22,base,5.467844083899406,5.467844083899406,
L2-S1,L_pol_db,A5,23,A5_23,base,6.28120783638452,6.28120783638452,
L2-S1,L_pol_db,A5,24,A5_24,base,6.7227758994933975,6.7227758994933975,
L2-S1,L_pol_db,A5,25,A5_25,base,6.075209629919552,6.075209629919552,
L2-S1,L_pol_db,A5,26,A5_26,base,5.405200426193421,5.405200426193421,
L2-S1,L_pol_db,A5,27,A5_27,base,5.262619531335836,5.262619531335836,
L2-S1,L_pol_db,A5,28,A5_28,base,5.633819154058655,5.633819154058655,
L2-S1,L_pol_db,A5,29,A5_29,base,6.176155884960265,6.176155884960265,
L2-S1,L_pol_db,A5,0,A5_0,stress,-0.4372883402727567,-0.4372883402727567,
L2-S1,L_pol_db,A5,1,A5_1,stress,-1.9160798542332462,-1.9160798542332462,
L2-S1,L_pol_db,A5,2,A5_2,stress,0.595885968268105,0.595885968268105,
L2-S1,L_pol_db,A5,3,A5_3,stress,-0.0025962005341535884,-0.0025962005341535884,
L2-S1,L_pol_db,A5,4,A5_4,stress,-0.7641883832255337,-0.7641883832255337,
L2-S1,L_pol_db,A5,5,A5_5,stress,-0.4951060385816874,-0.4951060385816874,
L2-S1,L_pol_db,A5,6,A5_6,stress,2.5260279415280396,2.5260279415280396,
L2-S1,L_pol_db,A5,7,A5_7,stress,0.37362855825838837,0.37362855825838837,
L2-S1,L_pol_db,A5,8,A5_8,stress,0.4236544637065832,0.4236544637065832,
L2-S1,L_pol_db,A5,9,A5_9,stress,0.7696865965659848,0.7696865965659848,
L2-S1,L_pol_db,A5,10,A5_10,stress,0.646422552210998,0.646422552210998,
L2-S1,L_pol_db,A5,11,A5_11,stress,1.3110700524182133,1.3110700524182133,
L2-S1,L_pol_db,A5,12,A5_12,stress,2.7373802412697676,2.7373802412697676,
L2-S1,L_pol_db,A5,13,A5_13,stress,0.0,0.0,
L2-S1,L_pol_db,A5,14,A5_14,stress,-2.192373066263174,-2.192373066263174,
L2-S1,L_pol_db,A5,15,A5_15,stress,0.28340207531640854,0.28340207531640854,
L2-S1,L_pol_db,A5,16,A5_16,stress,0.0862085896257072,0.0862085896257072,
L2-S1,L_pol_db,A5,17,A5_17,stress,-2.08171628526352,-2.08171628526352,
L2-S1,L_pol_db,A5,18,A5_18,stress,0.5670810292055496,0.5670810292055496,
L2-S1,L_pol_db,A5,19,A5_19,stress,0.8052550672642332,0.8052550672642332,
L2-S1,L_pol_db,A5,20,A5_20,stress,1.2931348328794656,1.2931348328794656,
L2-S1,L_pol_db,A5,21,A5_21,stress,0.9232996419624934,0.9232996419624934,
L2-S1,L_pol_db,A5,22,A5_22,stress,-0.00156384008459883,-0.00156384008459883,
L2-S1,L_pol_db,A5,23,A5_23,stress,0.8795310309128679,0.8795310309128679,
L2-S1,L_pol_db,A5,24,A5_24,stress,-0.0010419165945072767,-0.0010419165945072767,
L2-S1,L_pol_db,A5,25,A5_25,stress,-0.36571052770259294,-0.36571052770259294,
L2-S1,L_pol_db,A5,26,A5_26,stress,-4.970218132899988,-4.970218132899988,
L2-S1,L_pol_db,A5,27,A5_27,stress,-0.4526471512445226,-0.4526471512445226,
L2-S1,L_pol_db,A5,28,A5_28,stress,-1.683902306413063,-1.683902306413063,
L2-S1,L_pol_db,A5,29,A5_29,stress,-1.2192348324579938,-1.2192348324579938,
