plot_id,series,scenario_id,case_id,link_id,x,y,data,meta
M2-1,XPD_early_excess_db,A2,0,A2_0,A2,-32.934837556282154,-32.934837556282154,
M2-1,XPD_late_excess_db,A2,0,A2_0,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,1,A2_1,A2,-32.934837556282154,-32.934837556282154,
M2-1,XPD_late_excess_db,A2,1,A2_1,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,2,A2_2,A2,-32.934837556282154,-32.934837556282154,
M2-1,XPD_late_excess_db,A2,2,A2_2,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,3,A2_3,A2,-32.934837516946274,-32.934837516946274,
M2-1,XPD_late_excess_db,A2,3,A2_3,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,4,A2_4,A2,-32.934837516946274,-32.934837516946274,
M2-1,XPD_late_excess_db,A2,4,A2_4,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,5,A2_5,A2,-32.934837516946274,-32.934837516946274,
M2-1,XPD_late_excess_db,A2,5,A2_5,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,6,A2_6,A2,-32.93483746637157,-32.93483746637157,
M2-1,XPD_late_excess_db,A2,6,A2_6,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,7,A2_7,A2,-32.93483746637157,-32.93483746637157,
M2-1,XPD_late_excess_db,A2,7,A2_7,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,8,A2_8,A2,-32.93483746637157,-32.93483746637157,
M2-1,XPD_late_excess_db,A2,8,A2_8,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,9,A2_9,A2,-32.934837443893926,-32.934837443893926,
M2-1,XPD_late_excess_db,A2,9,A2_9,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,10,A2_10,A2,-32.934837443893926,-32.934837443893926,
M2-1,XPD_late_excess_db,A2,10,A2_10,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,11,A2_11,A2,-32.934837443893926,-32.934837443893926,
M2-1,XPD_late_excess_db,A2,11,A2_11,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,12,A2_12,A2,-32.934837404558046,-32.934837404558046,
M2-1,XPD_late_excess_db,A2,12,A2_12,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,13,A2_13,A2,-32.934837404558046,-32.934837404558046,
M2-1,XPD_late_excess_db,A2,13,A2_13,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,14,A2_14,A2,-32.934837404558046,-32.934837404558046,
M2-1,XPD_late_excess_db,A2,14,A2_14,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,15,A2_15,A2,-32.93483735398334,-32.93483735398334,
M2-1,XPD_late_excess_db,A2,15,A2_15,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,16,A2_16,A2,-32.93483735398334,-32.93483735398334,
M2-1,XPD_late_excess_db,A2,16,A2_16,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,17,A2_17,A2,-32.93483735398334,-32.93483735398334,
M2-1,XPD_late_excess_db,A2,17,A2_17,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,18,A2_18,A2,-32.934837286550405,-32.934837286550405,
M2-1,XPD_late_excess_db,A2,18,A2_18,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,19,A2_19,A2,-32.934837286550405,-32.934837286550405,
M2-1,XPD_late_excess_db,A2,19,A2_19,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,20,A2_20,A2,-32.934837286550405,-32.934837286550405,
M2-1,XPD_late_excess_db,A2,20,A2_20,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,21,A2_21,A2,-32.93483724721453,-32.93483724721453,
M2-1,XPD_late_excess_db,A2,21,A2_21,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,22,A2_22,A2,-32.93483724721453,-32.93483724721453,
M2-1,XPD_late_excess_db,A2,22,A2_22,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,23,A2_23,A2,-32.93483724721453,-32.93483724721453,
M2-1,XPD_late_excess_db,A2,23,A2_23,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,24,A2_24,A2,-32.934837196639826,-32.934837196639826,
M2-1,XPD_late_excess_db,A2,24,A2_24,A2,-24.93483769676745,-24.93483769676745,
M2-1,XPD_early_excess_db,A2,25,A2_25,A2,-32.934837196639826,-32.934837196639826,
M2-1,XPD_late_excess_db,A2,25,A2_25,A2,-24.93483769676745,-24.93483769676745,
