scenario_id,case_id,link_id,target_tau_ns,target_rank,target_in_Wearly,target_is_first,bounce_count,parity,incidence_angle_deg,Pco_target,Pcross_target,xpd_target_raw_db,xpd_target_ex_db,C_target_db
A2,0,A2_0,16.6782047599076,1.0,1,1,1,odd,53.13010235415599,2.601435534217647e-08,1.6413948565063798e-07,-8.0,-33.052449766174774,-232.79105102322603
A2,1,A2_1,21.358523427006453,1.0,1,1,1,odd,38.65980825409008,1.5862411794010066e-08,1.0008505222599891e-07,-8.0,-33.052449766174774,-230.64261254274908
A2,2,A2_2,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,1.4452419634542507e-08,9.118860313924345e-08,-8.0,-33.052449766174774,-230.23832597219297
A2,3,A2_3,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.0661621041875613e-08,6.727028100435988e-08,-8.0,-33.052449766174774,-228.91715275983873
A3,0,A3_0,23.704182717551713,2.0,0,0,2,even,45.0,8.125717111417731e-08,1.2878393733750742e-08,8.000000000000002,-17.052449766174774,-229.7375373287598
A3,1,A3_1,23.704182717551713,2.0,0,0,2,even,45.0,8.125717111417727e-08,1.287839373375074e-08,7.999999999999999,-17.052449766174778,-229.7375373287598
A3,2,A3_2,21.745718517050378,2.0,1,0,2,even,45.0,1.1437069022225291e-07,1.2772686720614925e-07,-0.4796751817476732,-25.53212494792245,0.6609606559383674
A3,3,A3_3,21.745718517050378,2.0,1,0,2,even,45.0,1.1437069022225295e-07,1.277268672061492e-07,-0.47967518174767,-25.532124947922448,0.6609606559383634
A3,4,A3_4,28.40195927464993,2.0,0,0,2,even,45.0,5.6599822638151095e-08,8.970467359371208e-09,8.0,-17.052449766174778,-228.16707104423648
A3,5,A3_5,28.40195927464993,2.0,0,0,2,even,45.0,5.6599822638151095e-08,8.970467359371208e-09,8.0,-17.052449766174778,-228.16707104423648
A3,6,A3_6,26.370557161984873,2.0,0,0,2,even,45.0,6.565579426025525e-08,1.0405742136870598e-08,8.0,-17.052449766174778,-228.81165093650566
A3,7,A3_7,26.370557161984873,2.0,0,0,2,even,45.0,6.565579426025521e-08,1.0405742136870593e-08,8.0,-17.052449766174778,-228.81165093650566
A3,8,A3_8,33.10529119661711,2.0,0,0,2,even,45.0,0.0,0.0,0.0,-25.052449766174778,-226.8360888049703
A3,9,A3_9,33.10529119661711,2.0,0,0,2,even,45.0,0.0,0.0,0.0,-25.052449766174778,-226.8360888049703
A3,10,A3_10,31.023254156944585,2.0,0,0,2,even,45.0,4.743915770249656e-08,7.5185998098776e-09,8.0,-17.052449766174778,-227.40029003529827
A3,11,A3_11,31.023254156944585,2.0,0,0,2,even,45.0,4.743915770249656e-08,7.5185998098776e-09,8.0,-17.052449766174778,-227.40029003529827
A4,0,A4_0,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,8.102032935849329e-09,1.5431696182834746e-08,-2.7981966007205945,-27.850646366895372,0.0
A4,1,A4_1,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,5.363796842473887e-09,9.81918366503461e-09,-2.6260306317195936,-27.678480397894372,0.0
A4,2,A4_2,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,7.728552333459288e-09,1.5805176785224786e-08,-3.107012058330528,-28.159461824505307,0.0
A4,3,A4_3,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,5.2507665069006635e-09,9.932214000607835e-09,-2.7682336199862,-27.82068338616098,0.0
A4,4,A4_4,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,3.891852712972455e-09,6.603454854420092e-09,-2.2961481701488613,-27.34859793632364,0.0
A4,5,A4_5,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.4037134656072136e-09,2.644109636892668e-09,-2.75000992972826,-27.80245969590304,0.0
A4,6,A4_6,22.376159751488377,1.0,1,1,1,odd,63.43494882292201,3.2924013866707346e-09,7.202906180721812e-09,-3.3999498211236108,-28.452399587298387,0.0
A4,7,A4_7,26.052188664154635,1.0,1,1,1,odd,50.1944289077348,1.3304922976073496e-09,2.7173308048925314e-09,-3.1013014746601146,-28.153751240834893,0.0
