scenario_id,case_id,strongest_tau_s,strongest_bounce_count,material,strongest_incidence_angle_deg,overlap_count,overlap,delta_xpd_db,delta_tau_s,outlier_reason,status,n_paths,wrap_detected
A6,9,2.6695549458708328e-08,2,NA,1.601048869705638,2,True,nan,1.2214213166927812e-11,OVERLAP,SKIPPED_OVERLAP,2,False
A6,10,2.66934654156544e-08,2,NA,1.4320961841645452,2,True,nan,1.4298256220857398e-11,OVERLAP,SKIPPED_OVERLAP,2,False
A6,11,2.6695549458708328e-08,2,NA,1.601048869705638,2,True,nan,1.2214213166927812e-11,OVERLAP,SKIPPED_OVERLAP,2,False
A6,12,2.6720545297010818e-08,2,NA,2.950346447313829,2,True,nan,1.2781625135561804e-11,OVERLAP,SKIPPED_OVERLAP,2,False
A6,13,2.671846320363508e-08,2,NA,2.862405226111651,2,True,nan,1.0699531759822358e-11,OVERLAP,SKIPPED_OVERLAP,2,False
A6,14,2.6720545297010818e-08,2,NA,2.950346447313829,2,True,nan,1.2781625135561804e-11,OVERLAP,SKIPPED_OVERLAP,2,False
A6,15,2.6762153147340634e-08,2,NA,4.3480915037712435,2,True,nan,7.86638390961943e-12,OVERLAP,SKIPPED_OVERLAP,2,False
A6,16,2.676007429130399e-08,2,NA,4.289153328819011,2,True,nan,9.945239946262878e-12,OVERLAP,SKIPPED_OVERLAP,2,False
A6,17,2.6762153147340634e-08,2,NA,4.3480915037712435,2,True,nan,7.86638390961943e-12,OVERLAP,SKIPPED_OVERLAP,2,False
B0,1,2.089773066629593e-08,2,NA,16.723558006484016,2,True,nan,1.0889845983228838e-11,OVERLAP,SKIPPED_OVERLAP,25,False
B0,2,5.347439241410602e-08,2,NA,3.576334374997269,2,True,nan,3.3907890194906344e-12,OVERLAP,SKIPPED_OVERLAP,21,False
B0,3,2.089773066629593e-08,2,NA,16.723558006484016,2,True,nan,1.0889845983228838e-11,OVERLAP,SKIPPED_OVERLAP,25,False
B0,7,2.312503909598361e-08,2,NA,44.99999999999999,2,True,nan,3.0126618291112287e-12,OVERLAP,SKIPPED_OVERLAP,21,False
B0,10,2.8742697622523388e-08,2,NA,49.56084065391561,2,True,nan,1.1618520960613976e-11,OVERLAP,SKIPPED_OVERLAP,25,False
B0,11,2.3704182717551713e-08,2,NA,32.401162502089626,2,True,nan,1.5299704323512637e-11,OVERLAP,SKIPPED_OVERLAP,25,False
B0,12,2.6944464395771273e-08,2,NA,44.99999999999999,2,True,nan,1.2322713603983422e-11,OVERLAP,SKIPPED_OVERLAP,21,False
B0,13,2.3704182717551713e-08,2,NA,32.401162502089626,2,True,nan,1.5299704323512637e-11,OVERLAP,SKIPPED_OVERLAP,25,False
B0,14,2.8742697622523388e-08,2,NA,49.56084065391561,2,True,nan,1.1618520960613976e-11,OVERLAP,SKIPPED_OVERLAP,25,False
B0,15,2.74177715017327e-08,2,NA,43.11705327006438,2,True,nan,5.934552955061381e-12,OVERLAP,SKIPPED_OVERLAP,25,False
B0,16,3.681503564483286e-08,2,NA,52.41329447919044,2,True,nan,9.305175479992596e-12,OVERLAP,SKIPPED_OVERLAP,25,False
B0,17,5.5672487032594116e-08,2,NA,16.534837857345142,2,True,nan,1.5379178343914176e-11,OVERLAP,SKIPPED_OVERLAP,21,False
B0,18,3.681503564483286e-08,2,NA,52.41329447919044,2,True,nan,9.305175479992596e-12,OVERLAP,SKIPPED_OVERLAP,25,False
B0,19,2.74177715017327e-08,2,NA,43.11705327006438,2,True,nan,5.934552955061381e-12,OVERLAP,SKIPPED_OVERLAP,25,False
B0,21,3.518271148390428e-08,2,NA,46.00868034121614,4,True,nan,8.150937028944533e-12,OVERLAP,SKIPPED_OVERLAP,25,False
B0,22,3.4825113942361253e-08,2,NA,44.99999999999999,4,True,nan,7.039377951577518e-12,OVERLAP,SKIPPED_OVERLAP,21,False
B0,23,3.518271148390428e-08,2,NA,46.00868034121614,4,True,nan,8.150937028944533e-12,OVERLAP,SKIPPED_OVERLAP,25,False
