Path: E:\0. CP Antenna\0. TRACK2_3_SIM\ANTENNA_SOURCE\LHCP_new_6G7G_11pts.ffd

L01: 0 180 181
L02: -180 180 361
L03: Frequencies 11
L04: Frequency 6.000000000000000e+09
L05: 3.972628051034497e+00 -1.481394852719145e+01 1.438509184593403e+01 1.995765205401996e+00
L06: 4.223077470073360e+00 -1.477686138555973e+01 1.431356900739933e+01 2.254000291332047e+00
L07: 4.472240498804974e+00 -1.473527306880329e+01 1.423768611708632e+01 2.511548786938373e+00
L08: 4.720041239757078e+00 -1.468919624512630e+01 1.415746628965849e+01 2.768332240454273e+00
L09: 4.966404210423494e+00 -1.463864494997560e+01 1.407293396085236e+01 3.024272433152299e+00
L10: 5.211254366256771e+00 -1.458363458176541e+01 1.398411488003419e+01 3.279291403170397e+00
L11: 5.454517123527534e+00 -1.452418189718676e+01 1.389103610235640e+01 3.533311469259888e+00
L12: 5.696118382043375e+00 -1.446030500610333e+01 1.379372598051634e+01 3.786255254447878e+00
L13: 5.935984547720507e+00 -1.439202336603492e+01 1.369221415611980e+01 4.038045709607084e+00
L14: 6.174042555001236e+00 -1.431935777623054e+01 1.358653155065184e+01 4.288606136925721e+00
L15: 6.410219889110412e+00 -1.424233037133280e+01 1.347671035605786e+01 4.537860213270387e+00
L16: 6.644444608144177e+00 -1.416096461463540e+01 1.336278402493761e+01 4.785732013434858e+00
L17: 6.876645364984112e+00 -1.407528529093604e+01 1.324478726035517e+01 5.032146033267602e+00
L18: 7.106751429030322e+00 -1.398531849898670e+01 1.312275600526808e+01 5.277027212671126e+00
L19: 7.334692707746598e+00 -1.389109164354375e+01 1.299672743157880e+01 5.520300958465954e+00
L20: 7.560399768011335e+00 -1.379263342702015e+01 1.286673992881173e+01 5.761893167112484e+00
L21: 7.783803857267491e+00 -1.368997384074244e+01 1.273283309241945e+01 6.001730247283592e+00
L22: 8.004836924465323e+00 -1.358314415581509e+01 1.259504771172148e+01 6.239739142281310e+00
L23: 8.223431640791372e+00 -1.347217691359500e+01 1.245342575747955e+01 6.475847352290584e+00
L24: 8.439521420177462e+00 -1.335710591577913e+01 1.230801036911286e+01 6.709982956463406e+00
L25: 8.653040439583489e+00 -1.323796621410811e+01 1.215884584155736e+01 6.942074634826630e+00
L26: 8.863923659047728e+00 -1.311479409968923e+01 1.200597761177314e+01 7.172051690006692e+00
L27: 9.072106841498673e+00 -1.298762709194171e+01 1.184945224490385e+01 7.399844068764758e+00
L28: 9.277526572322220e+00 -1.285650392716802e+01 1.168931742009255e+01 7.625382383335575e+00
L29: 9.480120278678418e+00 -1.272146454675436e+01 1.152562191595812e+01 7.848597932563694e+00
L30: 9.679826248561744e+00 -1.258255008500417e+01 1.135841559573689e+01 8.069422722830478e+00
L31: 9.876583649599176e+00 -1.243980285660819e+01 1.118774939209376e+01 8.287789488765631e+00
L32: 1.007033254758033e+01 -1.229326634375500e+01 1.101367529160762e+01 8.503631713736890e+00
L33: 1.026101392471398e+01 -1.214298518288597e+01 1.083624631893580e+01 8.716883650111614e+00
L34: 1.044856969760550e+01 -1.198900515109848e+01 1.065551652066216e+01 8.927480339284166e+00
L35: 1.063294273494955e+01 -1.183137315220188e+01 1.047154094883401e+01 9.135357631462924e+00
L36: 1.081407687493291e+01 -1.167013720243002e+01 1.028437564419275e+01 9.340452205210948e+00
L37: 1.099191694234185e+01 -1.150534641581515e+01 1.009407761910330e+01 9.542701586734266e+00
L38: 1.116640876536907e+01 -1.133705098922723e+01 9.900704840187529e+00 9.742044168912049e+00
L39: 1.133749919211492e+01 -1.116530218708351e+01 9.704316210667162e+00 9.938419230062671e+00
L40: 1.150513610677803e+01 -1.099015232573290e+01 9.504971552421207e+00 1.013176695244018e+01
L41: 1.166926844553027e+01 -1.081165475751986e+01 9.302731587763651e+00 1.032202844045536e+01
L42: 1.182984621207124e+01 -1.062986385453284e+01 9.097657920946885e+00 1.050914573861584e+01
L43: 1.198682049285774e+01 -1.044483499204192e+01 8.889813019396398e+00 1.069306184917995e+01
L44: 1.214014347200317e+01 -1.025662453163104e+01 8.679260194682659e+00 1.087372074951879e+01
L45: 1.228976844584282e+01 -1.006528980402967e+01 8.466063583235730e+00 1.105106740918123e+01
L46: 1.243564983716020e+01 -9.870889091649346e+00 8.250288126808755e+00 1.122504780665674e+01
L47: 1.257774320907034e+01 -9.673481610830251e+00 8.031999552696011e+00 1.139560894583086e+01
L48: 1.271600527855566e+01 -9.473127493803380e+00 7.811264353711797e+00 1.156269887212833e+01
L49: 1.285039392965042e+01 -9.269887770373648e+00 7.588149767936027e+00 1.172626668833898e+01
L50: 1.298086822626966e+01 -9.063824349329638e+00 7.362723758232878e+00 1.188626257012146e+01
