Path: E:\0. CP Antenna\0. TRACK2_3_SIM\ANTENNA_SOURCE\RHCP_new_6G7G_11pts.ffd

L01: 0 180 181
L02: -180 180 361
L03: Frequencies 11
L04: Frequency 6.000000000000000e+09
L05: -1.479805774223501e+01 -3.914598932574633e+00 -2.051080172042409e+00 1.438123520788192e+01
L06: -1.483160021116280e+01 -3.663015558278294e+00 -1.792506064397704e+00 1.444736404771293e+01
L07: -1.486062483098934e+01 -3.410316393958468e+00 -1.533385942041380e+00 1.450909208050025e+01
L08: -1.488512276053425e+01 -3.156578414228570e+00 -1.273798735472875e+00 1.456640050328712e+01
L09: -1.490508653749088e+01 -2.901878910135232e+00 -1.013823517469972e+00 1.461927185937279e+01
L10: -1.492051008069937e+01 -2.646295465614742e+00 -7.535394790025260e-01 1.466769004363004e+01
L11: -1.493138869199906e+01 -2.389905933860177e+00 -4.930259051100689e-01 1.471164030741090e+01
L12: -1.493771905765955e+01 -2.132788413606627e+00 -2.323621507508724e-01 1.475110926303925e+01
L13: -1.493949924939015e+01 -1.875021225341506e+00 2.837238337038706e-02 1.478608488788888e+01
L14: -1.493672872492721e+01 -1.616682887447403e+00 2.890982749888273e-01 1.481655652804564e+01
L15: -1.492940832819931e+01 -1.357852092284629e+00 5.497361044721418e-01 1.484251490155274e+01
L16: -1.491754028907022e+01 -1.098607682220729e+00 8.102064790126260e-01 1.486395210123817e+01
L17: -1.490112822265961e+01 -8.390286256143811e-01 1.070430056810953e+00 1.488086159712322e+01
L18: -1.488017712824191e+01 -5.791939927608118e-01 1.330327571244491e+00 1.489323823841165e+01
L19: -1.485469338772344e+01 -3.191829318062744e-01 1.589819855012649e+00 1.490107825505861e+01
L20: -1.482468476369843e+01 -5.907464463870893e-02 1.848827864252046e+00 1.490437925891910e+01
L21: -1.479016039708444e+01 2.010516372378759e-01 2.107272702613987e+00 1.490314024447536e+01
L22: -1.475113080433800e+01 4.611166768381270e-01 2.365075645297105e+00 1.489736158914318e+01
L23: -1.470760787425115e+01 7.210412558316825e-01 2.622158163027667e+00 1.488704505315698e+01
L24: -1.465960486433000e+01 9.807461986738204e-01 2.878441945980351e+00 1.487219377903354e+01
L25: -1.460713639675640e+01 1.240152396723146e+00 3.133848927632201e+00 1.485281229061482e+01
L26: -1.455021845393384e+01 1.499180832338799e+00 3.388301308542411e+00 1.482890649168997e+01
L27: -1.448886837361908e+01 1.757752602950037e+00 3.641721580050834e+00 1.480048366419690e+01
L28: -1.442310484364089e+01 2.015788945090679e+00 3.894032547887819e+00 1.476755246600422e+01
L29: -1.435294789620758e+01 2.273211258391266e+00 4.145157355688382e+00 1.473012292827389e+01
L30: -1.427841890180496e+01 2.529941129521449e+00 4.395019508403355e+00 1.468820645240571e+01
L31: -1.419954056268669e+01 2.785900356075489e+00 4.643542895600560e+00 1.464181580656428e+01
L32: -1.411633690595899e+01 3.041010970393453e+00 4.890651814648759e+00 1.459096512178971e+01
L33: -1.402883327626172e+01 3.295195263310893e+00 5.136270993777403e+00 1.453566988769319e+01
L34: -1.393705632804813e+01 3.548375807829863e+00 5.380325615005175e+00 1.447594694773868e+01
L35: -1.384103401746572e+01 3.800475482703872e+00 5.622741336930225e+00 1.441181449411225e+01
L36: -1.374079559384048e+01 4.051417495929824e+00 5.863444317375333e+00 1.434329206218052e+01
L37: -1.363637159076729e+01 4.301125408139544e+00 6.102361235880902e+00 1.427040052454007e+01
L38: -1.352779381680905e+01 4.549523155884016e+00 6.339419316039127e+00 1.419316208465937e+01
L39: -1.341509534580753e+01 4.796535074802980e+00 6.574546347662348e+00 1.411160027011543e+01
L40: -1.329831050680873e+01 5.042085922673078e+00 6.807670708779009e+00 1.402573992542707e+01
L41: -1.317747487360593e+01 5.286100902327357e+00 7.038721387450396e+00 1.393560720448703e+01
L42: -1.305262525390356e+01 5.528505684439168e+00 7.267628003401533e+00 1.384122956259526e+01
L43: -1.292379967810523e+01 5.769226430163668e+00 7.494320829459749e+00 1.374263574809570e+01
L44: -1.279103738772930e+01 6.008189813629785e+00 7.718730812794186e+00 1.363985579361939e+01
L45: -1.265437882345550e+01 6.245323044276032e+00 7.940789595950031e+00 1.353292100693608e+01
L46: -1.251386561280635e+01 6.480553889023186e+00 8.160429537670785e+00 1.342186396141771e+01
L47: -1.236954055746701e+01 6.713810694277212e+00 8.377583733502515e+00 1.330671848611617e+01
L48: -1.222144762024743e+01 6.945022407755616e+00 8.592186036173539e+00 1.318751965545869e+01
L49: -1.206963191169091e+01 7.174118600130670e+00 8.804171075743570e+00 1.306430377856379e+01
L50: -1.191413967633292e+01 7.401029486482887e+00 9.013474279516014e+00 1.293710838818118e+01
