case_id,ideal_is_los,patch_is_los,ideal_is_nlos,patch_is_nlos,same_label
1,0,0,1,1,1
2,0,0,1,1,1
3,1,1,0,0,1
4,0,0,1,1,1
5,1,1,0,0,1
6,0,0,1,1,1
7,1,1,0,0,1
8,0,0,1,1,1
9,0,0,1,1,1
10,0,0,1,1,1
11,0,0,1,1,1
12,0,0,1,1,1
13,1,1,0,0,1
14,1,1,0,0,1
15,0,0,1,1,1
16,1,1,0,0,1
17,1,1,0,0,1
18,1,1,0,0,1
19,0,0,1,1,1
20,0,0,1,1,1
21,0,0,1,1,1
22,0,0,1,1,1
23,0,0,1,1,1
24,1,1,0,0,1
25,0,0,1,1,1
26,1,1,0,0,1
27,0,0,1,1,1
28,0,0,1,1,1
29,0,0,1,1,1
30,0,0,1,1,1
31,0,0,1,1,1
32,0,0,1,1,1
33,0,0,1,1,1
34,0,0,1,1,1
35,0,0,1,1,1
36,0,0,1,1,1
37,0,0,1,1,1
38,0,0,1,1,1
39,1,1,0,0,1
40,1,1,0,0,1
