x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,eps_r,1,1,"[1.27, 29.65]","[2.00, 3.60]",126,0.799058084772371,0.687912087912088,-0.111145996860283
los_angle_from_anchor_bore_deg,eps_r,2,1,"[29.65, 38.57]","[2.00, 3.60]",115,0.755555555555556,0.790666666666667,0.0351111111111111
los_angle_from_anchor_bore_deg,eps_r,3,1,"[38.57, 45.77]","[2.00, 3.60]",106,0.847684653654803,0.91044776119403,0.062763107539227
los_angle_from_anchor_bore_deg,eps_r,4,1,"[45.77, 53.49]","[2.00, 3.60]",129,0.782865168539326,0.882865168539326,0.1
los_angle_from_anchor_bore_deg,eps_r,5,1,"[53.49, 77.65]","[2.00, 3.60]",124,0.737454100367197,0.760403916768666,0.0229498164014689
los_angle_from_anchor_bore_deg,eps_r,1,2,"[1.27, 29.65]","[3.60, 5.20]",117,0.716272189349112,0.827514792899408,0.111242603550296
los_angle_from_anchor_bore_deg,eps_r,2,2,"[29.65, 38.57]","[3.60, 5.20]",110,0.716581196581197,0.785982905982906,0.0694017094017094
los_angle_from_anchor_bore_deg,eps_r,3,2,"[38.57, 45.77]","[3.60, 5.20]",132,0.751157407407407,0.822916666666667,0.0717592592592594
los_angle_from_anchor_bore_deg,eps_r,4,2,"[45.77, 53.49]","[3.60, 5.20]",121,0.754152823920266,0.857142857142857,0.102990033222591
los_angle_from_anchor_bore_deg,eps_r,5,2,"[53.49, 77.65]","[3.60, 5.20]",120,0.778764204545455,0.891690340909091,0.112926136363636
los_angle_from_anchor_bore_deg,eps_r,1,3,"[1.27, 29.65]","[5.20, 6.80]",137,0.86376404494382,0.898876404494382,0.0351123595505617
los_angle_from_anchor_bore_deg,eps_r,2,3,"[29.65, 38.57]","[5.20, 6.80]",115,0.857517482517482,0.927447552447552,0.0699300699300699
los_angle_from_anchor_bore_deg,eps_r,3,3,"[38.57, 45.77]","[5.20, 6.80]",112,0.783216783216783,0.915306915306915,0.132090132090132
los_angle_from_anchor_bore_deg,eps_r,4,3,"[45.77, 53.49]","[5.20, 6.80]",124,0.759633027522936,0.839755351681957,0.0801223241590214
los_angle_from_anchor_bore_deg,eps_r,5,3,"[53.49, 77.65]","[5.20, 6.80]",112,0.825801749271137,0.939504373177843,0.113702623906706
los_angle_from_anchor_bore_deg,eps_r,1,4,"[1.27, 29.65]","[6.80, 8.40]",98,0.867397260273973,0.913972602739726,0.0465753424657535
los_angle_from_anchor_bore_deg,eps_r,2,4,"[29.65, 38.57]","[6.80, 8.40]",122,0.888354700854701,0.946047008547009,0.0576923076923076
los_angle_from_anchor_bore_deg,eps_r,3,4,"[38.57, 45.77]","[6.80, 8.40]",139,0.825711382113821,0.876016260162602,0.0503048780487805
los_angle_from_anchor_bore_deg,eps_r,4,4,"[45.77, 53.49]","[6.80, 8.40]",120,0.875875875875876,0.666666666666667,-0.209209209209209
los_angle_from_anchor_bore_deg,eps_r,5,4,"[53.49, 77.65]","[6.80, 8.40]",121,0.78856526429342,0.875943905070119,0.0873786407766991
los_angle_from_anchor_bore_deg,eps_r,1,5,"[1.27, 29.65]","[8.40, 10.00]",122,0.775828460038986,0.825341130604288,0.0495126705653021
los_angle_from_anchor_bore_deg,eps_r,2,5,"[29.65, 38.57]","[8.40, 10.00]",138,0.818970189701897,0.865040650406504,0.0460704607046071
los_angle_from_anchor_bore_deg,eps_r,3,5,"[38.57, 45.77]","[8.40, 10.00]",111,1,1,0
los_angle_from_anchor_bore_deg,eps_r,4,5,"[45.77, 53.49]","[8.40, 10.00]",106,1,1,0
los_angle_from_anchor_bore_deg,eps_r,5,5,"[53.49, 77.65]","[8.40, 10.00]",123,0.892391304347826,0.5,-0.392391304347826
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,1,"[1.27, 29.65]","[20.01, 24.00]",120,0.815893665158371,0.773190045248869,-0.0427036199095023
