x_var,y_var,x_index,y_index,x_label,y_label,n,auc_cir,auc_joint,delta_auc
los_angle_from_anchor_bore_deg,eps_r,1,1,"[1.27, 29.65]","[2.00, 3.60]",126,0.797802197802198,0.804709576138147,0.00690737833594979
los_angle_from_anchor_bore_deg,eps_r,2,1,"[29.65, 38.57]","[2.00, 3.60]",115,0.772444444444444,0.866222222222222,0.0937777777777777
los_angle_from_anchor_bore_deg,eps_r,3,1,"[38.57, 45.77]","[2.00, 3.60]",106,0.819364714887103,0.878683505549177,0.0593187906620743
los_angle_from_anchor_bore_deg,eps_r,4,1,"[45.77, 53.49]","[2.00, 3.60]",129,0.768258426966292,0.882303370786517,0.114044943820225
los_angle_from_anchor_bore_deg,eps_r,5,1,"[53.49, 77.65]","[2.00, 3.60]",124,0.738984088127295,0.770501835985312,0.0315177478580171
los_angle_from_anchor_bore_deg,eps_r,1,2,"[1.27, 29.65]","[3.60, 5.20]",117,0.692011834319527,0.769822485207101,0.077810650887574
los_angle_from_anchor_bore_deg,eps_r,2,2,"[29.65, 38.57]","[3.60, 5.20]",110,0.702564102564103,0.737777777777778,0.0352136752136754
los_angle_from_anchor_bore_deg,eps_r,3,2,"[38.57, 45.77]","[3.60, 5.20]",132,0.787037037037037,0.839988425925926,0.0529513888888888
los_angle_from_anchor_bore_deg,eps_r,4,2,"[45.77, 53.49]","[3.60, 5.20]",121,0.748837209302326,0.833222591362126,0.0843853820598005
los_angle_from_anchor_bore_deg,eps_r,5,2,"[53.49, 77.65]","[3.60, 5.20]",120,0.76953125,0.890625,0.12109375
los_angle_from_anchor_bore_deg,eps_r,1,3,"[1.27, 29.65]","[5.20, 6.80]",137,0.867275280898876,0.904494382022472,0.0372191011235956
los_angle_from_anchor_bore_deg,eps_r,2,3,"[29.65, 38.57]","[5.20, 6.80]",115,0.895979020979021,0.946678321678322,0.0506993006993007
los_angle_from_anchor_bore_deg,eps_r,3,3,"[38.57, 45.77]","[5.20, 6.80]",112,0.764568764568765,0.961149961149961,0.196581196581197
los_angle_from_anchor_bore_deg,eps_r,4,3,"[45.77, 53.49]","[5.20, 6.80]",124,0.809174311926605,0.845871559633028,0.036697247706422
los_angle_from_anchor_bore_deg,eps_r,5,3,"[53.49, 77.65]","[5.20, 6.80]",112,0.82798833819242,0.925655976676385,0.0976676384839649
los_angle_from_anchor_bore_deg,eps_r,1,4,"[1.27, 29.65]","[6.80, 8.40]",98,0.870684931506849,0.915616438356164,0.0449315068493151
los_angle_from_anchor_bore_deg,eps_r,2,4,"[29.65, 38.57]","[6.80, 8.40]",122,0.88301282051282,0.931623931623932,0.048611111111111
los_angle_from_anchor_bore_deg,eps_r,3,4,"[38.57, 45.77]","[6.80, 8.40]",139,0.84349593495935,0.899390243902439,0.0558943089430894
los_angle_from_anchor_bore_deg,eps_r,4,4,"[45.77, 53.49]","[6.80, 8.40]",120,0.88988988988989,1,0.11011011011011
los_angle_from_anchor_bore_deg,eps_r,5,4,"[53.49, 77.65]","[6.80, 8.40]",121,0.806903991370011,0.913700107874865,0.106796116504854
los_angle_from_anchor_bore_deg,eps_r,1,5,"[1.27, 29.65]","[8.40, 10.00]",122,0.814424951267056,0.866666666666667,0.0522417153996101
los_angle_from_anchor_bore_deg,eps_r,2,5,"[29.65, 38.57]","[8.40, 10.00]",138,0.81029810298103,0.887804878048781,0.0775067750677507
los_angle_from_anchor_bore_deg,eps_r,3,5,"[38.57, 45.77]","[8.40, 10.00]",111,1,1,0
los_angle_from_anchor_bore_deg,eps_r,4,5,"[45.77, 53.49]","[8.40, 10.00]",106,1,1,0
los_angle_from_anchor_bore_deg,eps_r,5,5,"[53.49, 77.65]","[8.40, 10.00]",123,0.928260869565217,0.616304347826087,-0.31195652173913
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,1,"[1.27, 29.65]","[20.01, 24.00]",120,0.832579185520362,0.879242081447964,0.0466628959276018
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,1,"[29.65, 38.57]","[20.01, 24.00]",118,0.749019607843137,0.83921568627451,0.0901960784313727
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,1,"[38.57, 45.77]","[20.01, 24.00]",111,0.797332185886403,0.85197934595525,0.0546471600688468
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,1,"[45.77, 53.49]","[20.01, 24.00]",111,0.804902962206333,0.899897854954035,0.0949948927477016
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,1,"[53.49, 77.65]","[20.01, 24.00]",140,0.774269005847953,0.847017543859649,0.0727485380116959
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,2,"[1.27, 29.65]","[24.00, 28.00]",125,0.793770139634801,0.860365198711063,0.0665950590762618
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,2,"[29.65, 38.57]","[24.00, 28.00]",122,0.730797101449275,0.777173913043478,0.0463768115942029
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,2,"[38.57, 45.77]","[24.00, 28.00]",117,0.882825040128411,0.906500802568218,0.0236757624398074
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,2,"[45.77, 53.49]","[24.00, 28.00]",114,0.833258426966292,0.887640449438202,0.0543820224719102
los_angle_from_anchor_bore_deg,xpol_coupling_db,5,2,"[53.49, 77.65]","[24.00, 28.00]",122,0.624955689471819,0.839418645870259,0.21446295639844
los_angle_from_anchor_bore_deg,xpol_coupling_db,1,3,"[1.27, 29.65]","[28.00, 32.00]",127,0.763618190904548,0.84207896051974,0.0784607696151922
los_angle_from_anchor_bore_deg,xpol_coupling_db,2,3,"[29.65, 38.57]","[28.00, 32.00]",121,0.749673202614379,0.777777777777778,0.0281045751633986
los_angle_from_anchor_bore_deg,xpol_coupling_db,3,3,"[38.57, 45.77]","[28.00, 32.00]",126,0.749667553191489,0.88563829787234,0.135970744680851
los_angle_from_anchor_bore_deg,xpol_coupling_db,4,3,"[45.77, 53.49]","[28.00, 32.00]",110,0.845029239766082,0.932383040935672,0.0873538011695906
