case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,slab_placement_results_tbl
1,2.22118117796212,1.15234059502196,-0.999888925729175,0.0724870138788596,3.55134713883628,0.0104905777207102,31.3213379700212,10.3234096287526,12.6918066916332,1.30229077155619,brick,ideal,wall_y,1.46541885572582,43.1659360435241,43.1659360435241,2.22118117796212,1.15234059502196,43.1659360435241,0,1,0,6,2.49027237354086e-09,0.0807654633536791,leading_edge,1,1,R,1,1,2,0.163196581754839,-15.8188656073922,0.0476776515343195,0.000482380173942976,0.0202322132371507,0.35348561843904,4.66432098726663e-08,8.8818024326291e-09,4.48249027237354e-09,0.158111556770517,9.96108949416347e-10,1.66666932633659,121.221727096786,10.6409466544648,0.977524702557826,1,166.453530034126,0.187805828720015,0,,2,0,1,1,1,0,1.46541885572582,dielectric,0.00354201751763844,0.00031002723330522,0.0875284302692901,0,43.1659360435241,43.1659360435241,wall_y
2,2.33855459337546,1.13158151907313,1.45035246871268,1.2024221154705,6.22547228971897,0.00350522182530199,25.0026356852706,6.92112366775475,32.9778384912133,3.15657930753739,brick,ideal,ceiling,2.23743720121131,57.3541720303403,57.3541720303403,2.33855459337546,1.13158151907313,57.3541720303403,0,1,0,11,4.98054474708171e-09,0.0471619585519301,leading_edge,1,1,R,1,1,2,0.0777233559145929,-22.6823396710538,0.0110785102107204,0.394676114786241,0.0228935505867987,0.36916650389694,5.59861880615569e-09,2.45020565215095e-09,4.48249027237354e-09,0.181026623294136,9.96108949416347e-10,1.65717897277772,121.509519821273,10.5773105751775,0.999649330241116,2,172.687813387274,0.221040913469342,0,,2,0,1,1,0,1,2.23743720121131,dielectric,0.00231985919195786,0.00077720358325267,0.335021878029047,0,57.3541720303403,57.3541720303403,ceiling
3,2.7866616397085,1.31708543879299,-0.681157081729319,-0.069264942126555,8.62284585456668,0.0100905138688234,35.302825509174,9.17684420459054,19.6647337858544,1.85902217385817,concrete,patch_ffd,wall_x,1.62124236698128,24.9806242638307,24.9806242638307,2.7866616397085,1.31708543879299,24.9806242638307,0,1,0,7,2.98832684824903e-09,8.20271002085156,leading_edge,1,1,R,1,1,2,1.32026668837854,2.20579504205063,1.54210643118431,0.00288989734333178,0.0163812411928646,0.321350476387672,3.07331109146587e-08,5.6543668374705e-09,4.98054474708171e-09,0.135735800671508,9.96108949416347e-10,1.68187878726108,114.456241568217,10.2438372186728,0.990198977901093,2,163.072985909363,0.157053596315769,0,,2,0,1,1,1,0,1.62124236698128,dielectric,0.00320158130787269,0.000559883135729664,0.174877062891675,0,24.9806242638307,24.9806242638307,wall_x
4,2.60168746361349,1.23648434531782,-1.88986513073608,0.517290654111219,6.4411063664575,0.00789264615057781,21.8432562501813,14.9495974076881,26.9486336354521,3.71596676447131,wood,patch_ffd,ceiling,2.38808697232892,55.1330787369569,55.1330787369569,2.60168746361349,1.23648434531782,55.1330787369569,0,1,0,10,4.48249027237354e-09,0.730609490026576,leading_edge,1,1,R,1,1,2,0.930052600365543,-2.31559153217668,0.866257608518355,0.0745528501825654,0.0162375883989917,0.330913416376809,2.10810178996198e-08,3.76973039360492e-09,5.47859922178988e-09,0.11568685639851,4.48249027237356e-09,1.86344246480209,104.815291294235,9.81484902813819,0.997611002105503,1,152.435420263341,0.130821143206533,0,,2,0,1,1,0,1,2.38808697232892,dielectric,0.00217351349335347,0.000745753186016148,0.343109526716368,0,55.1330787369569,55.1330787369569,ceiling
5,2.85676763030814,1.20050466995946,1.78703227226806,1.06810395061155,8.89298352139415,0.00106340525767183,28.7222211839029,7.86240531106838,23.0938838506567,4.38235577734719,drywall,ideal,wall_x,2.66036414523698,51.4959451624095,51.4959451624095,2.85676763030814,1.20050466995946,51.4959451624095,0,1,0,14,6.47470817120623e-09,0.0440649904777242,leading_edge,1,1,R,1,1,2,0.346268056858914,-9.22483819892132,0.0143234351654118,0.404603771190337,0.020504903850737,0.353361006299847,1.4830693197644e-08,3.0919364506154e-09,4.48249027237354e-09,0.160194723144949,9.96108949416347e-10,1.66632428860879,120.757627485592,10.644739884046,0.997551449586063,1,168.816000032213,0.190752222640056,0,,2,0,1,1,0,1,2.66036414523698,dielectric,0.00195106345383262,0.000675826245330355,0.346388654865519,0,51.4959451624095,51.4959451624095,wall_x
6,2.60378592865245,0.727161546373904,-1.51172423844814,-0.776390676988364,8.18679150570996,0.0457001641241766,26.4913434178514,13.7705039316072,33.2590011828327,2.83356728858341,concrete,patch_ffd,floor,2.53176059859308,42.1634496640921,42.1634496640921,2.60378592865245,0.727161546373904,42.1634496640921,0,1,0,13,5.97665369649805e-09,5.47712605729918,leading_edge,1,1,R,1,1,2,0.520964459966061,-6.0781316586795,0.93747357415046,0.293932982042924,0.0146200018385572,0.300542013466874,1.39631198427527e-08,3.09435977843626e-09,4.48249027237354e-09,0.141730150109249,3.98443579766539e-09,1.64186631072921,112.204225457102,10.0520778696985,0.999024002387822,3,166.391125216709,0.165134718558843,0,,2,0,1,1,0,1,2.53176059859308,dielectric,0.0020501698543468,0.000671172826513429,0.327374253938228,0,42.1634496640921,42.1634496640921,floor
7,2.89947120795183,0.723136133204817,0.186143037174321,1.43207197205226,8.60118887878088,0.0066036904014833,38.608630779974,8.76288897962437,17.5369377284982,3.01937571819352,concrete,ideal,wall_y,2.61187934656259,33.5664777305065,33.5664777305065,2.89947120795183,0.723136133204817,33.5664777305065,0,1,0,14,6.47470817120623e-09,0.0446323786621441,leading_edge,1,1,R,1,1,2,0.307299432537999,-10.2900422187148,0.00759910203346064,0.402968735931444,0.0278016599552192,0.415562017094815,2.82051572010592e-08,4.58438217847522e-09,4.48249027237354e-09,0.196274616595224,9.96108949416347e-10,1.64823801131755,121.299780797011,10.663839405663,0.991671580969557,1,165.497771639138,0.244206069197114,0,,2,0,1,1,0,1,2.61187934656259,dielectric,0.00198728140505022,0.000611166213658753,0.307538837783927,0,33.5664777305065,33.5664777305065,wall_y
8,2.83705829266783,0.27695017986579,1.78160272788049,-0.878081147798627,6.12730615969537,0.00698140407421318,22.7339604267103,11.3675836386221,15.4590087341962,2.27327396622711,glass,patch_ffd,wall_y,3.24026053448567,37.8057693649517,37.8057693649517,2.83705829266783,0.27695017986579,37.8057693649517,0,1,0,17,7.96887159533074e-09,0.596260620548546,leading_edge,1,1,R,1,1,2,3.71482808668525,7.36326493282387,0.325598124303404,0.859024317535345,0.00806299506258366,0.316919594495075,1.06792479542086e-07,4.19453457900665e-08,1.14552529182879e-08,0.0668085823483583,4.48249027237356e-09,1.64575212827623,57.5658530452005,7.11680283836982,0.876281519948507,5,82.5261006804013,0.0715915096138376,0,,2,0,1,1,0,1,3.24026053448567,dielectric,0.001601889478459,0.000427228344725266,0.266702759753598,0,37.8057693649517,37.8057693649517,wall_y
9,2.47511703185873,0.210075353764654,0.681176383118955,0.225373929777471,9.70511683910437,0.0239604659561346,20.4352192800532,9.91069777890405,38.4796060245868,3.33944836879391,metal_pec,ideal,ceiling,2.37596474650732,17.5765172912304,17.5765172912304,2.47511703185873,0.210075353764654,17.5765172912304,0,1,0,12,5.47859922178988e-09,0.04932324473807,leading_edge,1,1,R,1,1,2,0.709985102953127,-2.99921680223386,0.0154259133743937,0.797802503098672,0.0191308362137659,0.339182711609889,3.43599225703174e-09,2.47774334351778e-09,4.48249027237354e-09,0.153533835255693,9.96108949416347e-10,1.67347401455953,121.487506430406,10.6718921180631,0.999900146772042,1,170.946279245554,0.181382129198361,0,,2,0,1,1,0,1,2.37596474650732,PEC,0.00218460280830709,0.00155969120213774,0.713947265931783,0,17.5765172912304,17.5765172912304,ceiling
10,2.50752961308275,1.23968227477012,-0.674277490104678,0.106264387590972,8.64919905124154,0.0122147334073645,32.4662109301829,5.99039693250583,39.7247099727087,4.56962499284933,brick,ideal,wall_x,1.43992330594319,28.2976937628282,28.2976937628282,2.50752961308275,1.23968227477012,28.2976937628282,0,1,0,6,2.49027237354086e-09,0.0811610674997913,leading_edge,1,1,R,1,1,2,0.156882040051103,-16.0892068618957,0.00234839348100118,0.0438842721457836,0.0246533943350764,0.387301668267987,5.19431578284525e-09,2.37379124690964e-09,4.48249027237354e-09,0.181824615801605,9.96108949416347e-10,1.65558153358691,121.433889687286,10.6800063158293,0.999868502962585,1,168.955020623409,0.222231833556991,0,,2,0,1,1,1,0,1.43992330594319,dielectric,0.00360473313837961,0.000567226940236768,0.157356153274565,0,28.2976937628282,28.2976937628282,wall_x
