subset,n,n_los,n_nlos,mean_gamma_los,mean_gamma_nlos,auc_gamma_cp_3
ideal_all,100,33,67,0.0114554990106255,0.0144656482985067,0.57123473541384
patch_all,100,31,69,0.0132586046404999,0.0118307906226614,0.517531556802244
ideal_ceiling,27,4,23,0.00488990579908333,0.0158111648457369,0.728260869565217
ideal_floor,24,10,14,0.0133868042411644,0.0115846591181733,0.435714285714286
ideal_wall_x,27,10,17,0.0151030570111153,0.0167227076815348,0.564705882352941
ideal_wall_y,22,9,13,0.00817480351461246,0.0122361835621138,0.615384615384615
patch_ceiling,23,4,19,0.0256034762463692,0.00752944084753192,0.315789473684211
patch_floor,26,8,18,0.0137795612491652,0.0100127750455639,0.486111111111111
patch_wall_x,23,8,15,0.00658889418929732,0.0178936696763641,0.741666666666667
patch_wall_y,28,11,17,0.0132413813965745,0.0132135400526421,0.545454545454545
