case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,slab_placement_results
1,2.22118117796212,1.15234059502196,-0.999888925729175,0.0724870138788596,3.55134713883628,0.0104905777207102,31.3213379700212,10.3234096287526,12.6918066916332,1.30229077155619,brick,ideal,wall_y,1.46541885572582,43.1659360435241,43.1659360435241,2.22118117796212,1.15234059502196,43.1659360435241,0,1,0,6,2.49027237354086e-09,0.0802909898068313,leading_edge,1,1,R,1,1,2,0.162112850250023,-16.0040262393166,0.0598715028542379,0.00363005239603353,0.0206269560732393,0.358120309662252,4.52079019108539e-08,8.74093794354998e-09,4.48249027237354e-09,0.159359552874495,9.96108949416347e-10,1.66618532879824,120.697027504232,10.6192270410512,0.976735664357103,1,165.33711515679,0.189569218825255,26.9065260459775,14.3543606275535,15.0609571131695,0.995930951262823,0.929214476352229,0.939521786896827,1.24513618677043e-08,21.9590637255085,0.159359552870519,0.0383874452554186,-0.1209721076151,0.0298973789263987,0.00203867217476623,0.193459627303244,-2.14651605742336e-09,0.920918567811485,0,,2,0,1,1,1,0,1.46541885572582,dielectric,0.00354201751763844,0.00031002723330522,0.0875284302692901,0,43.1659360435241,43.1659360435241,wall_y
2,2.33855459337546,1.13158151907313,1.45035246871268,1.2024221154705,6.22547228971897,0.00350522182530199,25.0026356852706,6.92112366775475,32.9778384912133,3.15657930753739,brick,ideal,ceiling,2.23743720121131,57.3541720303403,57.3541720303403,2.33855459337546,1.13158151907313,57.3541720303403,0,1,0,11,4.98054474708171e-09,0.0471976920841333,leading_edge,1,1,R,1,1,2,0.0752798487117315,-22.9087077138064,0.00532480345457143,0.582474628839879,0.0231634558311838,0.371705738624326,6.29879876128046e-09,2.4679305522092e-09,4.48249027237354e-09,0.181971688739773,9.96108949416347e-10,1.65681189607738,121.132114763236,10.5595969672405,0.999624484319016,2,172.344701530228,0.222451578062664,49.0561199220003,20.6190984900747,21.4911538960914,0.999975145480022,0.982806257059139,0.985912152508138,2.49027237354087e-09,20.7306459640602,0.181971688726078,0.193962935851801,0.0119912471257233,0.00704050397125468,1.24276212150082e-05,0.0389645701035412,2.33318307993665e-09,0.0328701379296357,0,,2,0,1,1,0,1,2.23743720121131,dielectric,0.00231985919195786,0.00077720358325267,0.335021878029047,0,57.3541720303403,57.3541720303403,ceiling
3,2.7866616397085,1.31708543879299,-0.681157081729319,-0.069264942126555,8.62284585456668,0.0100905138688234,35.302825509174,9.17684420459054,19.6647337858544,1.85902217385817,concrete,patch_ffd,wall_x,1.62124236698128,24.9806242638307,24.9806242638307,2.7866616397085,1.31708543879299,24.9806242638307,0,1,0,7,2.98832684824903e-09,4.53580365079268,leading_edge,1,1,R,1,1,2,10.0130443317039,17.6856138230273,6.75488378634787,0.00104256720481211,0.0219063099189952,0.427952905149007,1.31334442047577e-07,6.43665994849603e-08,4.48249027237354e-09,0.150189439363428,2.98832684824904e-09,1.64521794051924,105.123283381508,9.57077028456184,0.773535868094975,3,122.961848789638,0.176732846495723,-17.1844488588589,-17.0182827721412,-17.0372700036828,-0.962471731787579,-0.961036549415158,-0.961203227435602,0,-16.5923576330163,0.150189439363427,0.155366463982334,0.00517702461890684,0.82802980493461,52.2931599369142,284.21105721876,1.62384992309563e-10,0.139771187888093,0,,2,0,1,1,1,0,1.62124236698128,dielectric,0.00320158130787269,0.000559883135729664,0.174877062891675,0,24.9806242638307,24.9806242638307,wall_x
4,2.60168746361349,1.23648434531782,-1.88986513073608,0.517290654111219,6.4411063664575,0.00789264615057781,21.8432562501813,14.9495974076881,26.9486336354521,3.71596676447131,wood,patch_ffd,ceiling,2.38808697232892,55.1330787369569,55.1330787369569,2.60168746361349,1.23648434531782,55.1330787369569,0,1,0,12,5.47859922178988e-09,3.64767615645848,leading_edge,1,1,R,1,1,2,2.50328105042179,6.83795306223569,1.93626578650799,0.00832548470266625,0.0200720288339433,0.355992002745583,2.18773181344269e-08,3.95137413010804e-09,4.98054474708171e-09,0.152247525524248,9.96108949416347e-10,1.67184024773643,115.852926761663,10.4041501307906,0.994650462777221,1,162.818557687622,0.179589597327212,-6.17405653435739,-6.63991170619258,-6.5705605897763,-0.611187347291897,-0.643689507001089,-0.638989310086755,0,-5.73929943228706,0.152247525524246,0.138963209885077,-0.0132843156391694,0.705416893090118,4.14386552513102,25.6687988474376,2.48050337617741e-11,0.00694274032151698,0,,2,0,1,1,0,1,2.38808697232892,dielectric,0.00217351349335347,0.000745753186016148,0.343109526716368,0,55.1330787369569,55.1330787369569,ceiling
5,2.85676763030814,1.20050466995946,1.78703227226806,1.06810395061155,8.89298352139415,0.00106340525767183,28.7222211839029,7.86240531106838,23.0938838506567,4.38235577734719,drywall,ideal,wall_x,2.66036414523698,51.4959451624095,51.4959451624095,2.85676763030814,1.20050466995946,51.4959451624095,0,1,0,14,6.47470817120623e-09,0.0438281426937658,leading_edge,1,1,R,1,1,2,0.351242700118746,-9.10480689914401,0.010245222880126,0.333288743714591,0.0206371065488529,0.354945737992217,1.50693597463827e-08,3.09950098977658e-09,4.48249027237354e-09,0.160697779435377,9.96108949416347e-10,1.66580223570613,120.391508002418,10.6271647163014,0.997468867486363,1,168.390656291528,0.191465929075311,41.0817139538413,8.22466744626781,8.98593649001762,0.999844108200808,0.738376318677337,0.775724452279304,3.98443579766539e-09,8.14234393163822,0.160697779421674,0.180511226864357,0.0198134474426832,0.11210657718101,7.79522409375984e-05,0.785734166111055,3.92798444168485e-09,0.00677955398431418,0,,2,0,1,1,0,1,2.66036414523698,dielectric,0.00195106345383262,0.000675826245330355,0.346388654865519,0,51.4959451624095,51.4959451624095,wall_x
6,2.60378592865245,0.727161546373904,-1.51172423844814,-0.776390676988364,8.18679150570996,0.0457001641241766,26.4913434178514,13.7705039316072,33.2590011828327,2.83356728858341,concrete,patch_ffd,floor,2.53176059859308,42.1634496640921,42.1634496640921,2.60378592865245,0.727161546373904,42.1634496640921,0,1,0,13,5.97665369649805e-09,0.629360437077166,leading_edge,1,1,R,1,1,2,28.6997803072028,25.3561584500553,20.0045977044962,0.0101263503842725,0.0130671352548586,0.379963343196906,7.57853449013982e-08,2.27168662247372e-08,8.96498054474708e-09,0.0937620506991202,5.97665369649808e-09,1.66427352665735,66.4512228513691,7.80709971012939,0.934123607290877,2,93.0443701934102,0.103462948965504,-26.6397630723096,-24.5852008609378,-24.8190325122784,-0.995673733843916,-0.99306571746507,-0.993428003798697,0,-26.0225964414186,0.0937620506990987,0.142593639325,0.0488315886259013,0.854383872861692,461.292408243348,2773.05597915163,-8.83821133541517e-10,0.503016547724006,0,,2,0,1,1,0,1,2.53176059859308,dielectric,0.0020501698543468,0.000671172826513429,0.327374253938228,0,42.1634496640921,42.1634496640921,floor
7,2.89947120795183,0.723136133204817,0.186143037174321,1.43207197205226,8.60118887878088,0.0066036904014833,38.608630779974,8.76288897962437,17.5369377284982,3.01937571819352,concrete,ideal,wall_y,2.61187934656259,33.5664777305065,33.5664777305065,2.89947120795183,0.723136133204817,33.5664777305065,0,1,0,14,6.47470817120623e-09,0.0449369983387228,leading_edge,1,1,R,1,1,2,0.317945478632222,-9.99084195355988,0.0076428577802832,0.479483453562768,0.0284272903515706,0.420798114871105,2.70232145708268e-08,4.44675091206361e-09,4.48249027237354e-09,0.198712625522728,9.96108949416347e-10,1.6476158369556,120.874923729788,10.6443891934067,0.992237175642079,1,165.036881563863,0.24799170915723,39.5505989892868,8.94298273912422,9.90300064506027,0.999778220626659,0.773747437345379,0.814456208713685,4.98054474708173e-09,12.6677208959849,0.19871262550693,0.127295246666612,-0.0714173788403178,0.0926778921460246,0.000110902184578095,0.514084122463704,5.22879105005141e-09,0.0303056796608765,0,,2,0,1,1,0,1,2.61187934656259,dielectric,0.00198728140505022,0.000611166213658753,0.307538837783927,0,33.5664777305065,33.5664777305065,wall_y
8,2.83705829266783,0.27695017986579,1.78160272788049,-0.878081147798627,6.12730615969537,0.00698140407421318,22.7339604267103,11.3675836386221,15.4590087341962,2.27327396622711,glass,patch_ffd,wall_y,3.24026053448567,37.8057693649517,37.8057693649517,2.83705829266783,0.27695017986579,37.8057693649517,0,1,0,22,1.04591439688716e-08,1.42053207227075,leading_edge,1,1,R,1,1,2,9.60771981289895,16.2149669005911,27.1967263716099,0.00152544228542861,0.00699849082716873,0.316688025824722,1.65901517755038e-07,1.37023110304058e-07,9.46303501945525e-09,0.0301413236027741,1.04591439688716e-08,2.3457387633259,65.4451229766338,6.69104590036886,0.5193241416953,46,71.7355160555555,0.0310780573874343,-28.7137011999814,-8.90623149221673,-15.1597995566412,-0.997314183941387,-0.772043849164037,-0.940842430520617,-1.99221789883269e-09,-20.6993355860455,0.030141323602773,0.181996520652754,0.151855197049981,0.220214122306015,743.652633074206,247.003166215615,-1.19071526904735e-08,0.938776784152656,0,,2,0,1,1,0,1,3.24026053448567,dielectric,0.001601889478459,0.000427228344725266,0.266702759753598,0,37.8057693649517,37.8057693649517,wall_y
9,2.47511703185873,0.210075353764654,0.681176383118955,0.225373929777471,9.70511683910437,0.0239604659561346,20.4352192800532,9.91069777890405,38.4796060245868,3.33944836879391,metal_pec,ideal,ceiling,2.37596474650732,17.5765172912304,17.5765172912304,2.47511703185873,0.210075353764654,17.5765172912304,0,1,0,12,5.47859922178988e-09,0.0493093331195929,leading_edge,1,1,R,1,1,2,0.709748753089625,-3.00159454092082,0.0172228669205469,0.769352611349935,0.0191169922661527,0.3390277455087,3.82495200827557e-09,2.48379383514966e-09,4.48249027237354e-09,0.153564716833509,9.96108949416347e-10,1.67316826300227,121.533992735153,10.6741459008481,0.999886277346066,1,170.978772883186,0.181425231069088,31.5679024212311,2.21197871736778,2.93641423385785,0.998607045171314,0.249297352088428,0.325750764366669,3.48638132295721e-09,0.847201451992089,0.153564716823005,0.212347512548558,0.058782795725553,0.337048343191659,0.000696963055784597,3.31107381489613,3.22313309461512e-09,0.0010290547184082,0,,2,0,1,1,0,1,2.37596474650732,PEC,0.00218460280830709,0.00155969120213774,0.713947265931783,0,17.5765172912304,17.5765172912304,ceiling
10,2.50752961308275,1.23968227477012,-0.674277490104678,0.106264387590972,8.64919905124154,0.0122147334073645,32.4662109301829,5.99039693250583,39.7247099727087,4.56962499284933,brick,ideal,wall_x,1.43992330594319,28.2976937628282,28.2976937628282,2.50752961308275,1.23968227477012,28.2976937628282,0,1,0,6,2.49027237354086e-09,0.0811703725783532,leading_edge,1,1,R,1,1,2,0.157494753997673,-16.0556631114321,0.000359533489151297,0.788376340758856,0.0246779323646155,0.387524305351648,5.21734395130045e-09,2.3739120767317e-09,4.48249027237354e-09,0.181938539417483,9.96108949416347e-10,1.65549913594381,121.419309318152,10.6793433405046,0.999869780777951,1,168.928914491475,0.222402042125208,64.0657024329301,15.1941185804152,16.067482141086,0.999999215877957,0.941294398375771,0.951730626418703,1.04591439688716e-08,14.4132943373233,0.181938539412945,0.236424614713297,0.0544860753003527,0.0241346056457128,3.92129717688117e-07,0.135933225425425,1.02403415792059e-08,0.000546749987405559,0,,2,0,1,1,1,0,1.43992330594319,dielectric,0.00360473313837961,0.000567226940236768,0.157356153274565,0,28.2976937628282,28.2976937628282,wall_x
