label_name,room_type,n,n_neg,n_pos,auc_cir,auc_cp,auc_joint,delta_auc
current_0p20,A,300,28,272,0.804359243697479,0.557379201680672,0.874343487394958,0.069984243697479
current_0p20,B,300,25,275,0.841163636363636,0.660072727272727,0.8688,0.0276363636363636
current_0p20,C,300,26,274,0.772318921953959,0.653425042111173,0.791128579449747,0.0188096574957887
geo_only,A,300,300,0,NaN,NaN,NaN,NaN
geo_only,B,300,293,7,0.818137493905412,0.655777669429547,0.833252072159922,0.0151145782545099
geo_only,C,300,240,60,0.690069444444445,0.653541666666667,0.739444444444444,0.0493749999999999
bounce_0p33_visible,A,300,165,135,0.681705948372615,0.607048260381594,0.720628507295174,0.0389225589225588
bounce_0p33_visible,B,293,162,131,0.719112242013005,0.598294222976157,0.737725002356045,0.0186127603430402
bounce_0p33_visible,C,240,136,104,0.688560520361991,0.593467194570136,0.72772907239819,0.0391685520361992
mixed_0p33,A,300,165,135,0.681705948372615,0.607048260381594,0.720628507295174,0.0389225589225588
mixed_0p33,B,300,162,138,0.716765074252997,0.600062623009483,0.73385220969762,0.0170871354446234
mixed_0p33,C,300,136,164,0.700277977044476,0.613522238163558,0.741750358680057,0.041472381635581
