label_name,room_type,n,n_neg,n_pos,auc_cir,auc_cp,auc_joint,delta_auc
current_0p20,A,300,28,272,0.813813025210084,0.593356092436975,0.860425420168067,0.0466123949579833
current_0p20,B,300,25,275,0.824727272727273,0.630109090909091,0.849454545454545,0.0247272727272727
current_0p20,C,300,26,274,0.733717012914093,0.619455362156092,0.759124087591241,0.0254070746771476
geo_only,A,300,300,0,NaN,NaN,NaN,NaN
geo_only,B,300,293,7,0.86153096050707,0.686494392979035,0.877620672842516,0.0160897123354461
geo_only,C,300,240,60,0.671319444444444,0.661875,0.730902777777778,0.0595833333333337
bounce_0p33_visible,A,300,165,135,0.679506172839506,0.617328843995511,0.716094276094276,0.0365881032547701
bounce_0p33_visible,B,293,162,131,0.698331919705965,0.575770426915465,0.714164546225615,0.0158326265196496
bounce_0p33_visible,C,240,136,104,0.677389705882353,0.590285633484163,0.723204185520362,0.0458144796380091
mixed_0p33,A,300,165,135,0.679506172839506,0.617328843995511,0.716094276094276,0.0365881032547701
mixed_0p33,B,300,162,138,0.698246555734478,0.577339416711397,0.715646806226516,0.0174002504920379
mixed_0p33,C,300,136,164,0.688172525107604,0.615898493543759,0.734711262553802,0.0465387374461982
