case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results,is_nlos_current_0p20,is_los_current_0p20,is_nlos_geo,is_los_geo,is_nlos_bounce_0p33,is_los_bounce_0p33,is_nlos_mixed_0p33,is_los_mixed_0p33,label_schema
1,B,2.5,2,2.7,1.83333333333333,1.78571428571429,1.2,1,1.65540412340654,25.0250200534645,25.0250200534645,35.6604316741736,37.7308484607883,1.18161275140818,brick,patch_ffd,brick,9,3.98443579766537e-09,4.14796823356804,leading_edge,1,1,R,1,1,2,3.61370719233503,8.24564004165354,4.34827941162811,0.0293133834723873,0.0217213378898257,0.474124454179747,1.9158560337252e-08,5.59921373165803e-09,1.09571984435798e-08,0.140549999617211,3.98443579766539e-09,1.6232561619119,54.1999536045269,6.87533164067738,0.998209943763302,4,99.3333253748646,0.163534818261227,0,,21,0,2,1,1,0,1.65540412340654,dielectric,0.00313551185735679,0.000621162791084704,0.198105706290755,0,B,1,25.0250200534645,25.0250200534645,brick,1.18161275140818,0,1,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
2,B,2.5,2,2.7,0.944444444444444,3.07142857142857,0.2,1,3.13332287996198,37.0723435277123,37.0723435277123,21.0532488261369,39.8275457604701,1.08586273344216,brick,patch_ffd,brick,18,8.46692607003891e-09,0.923495629107256,leading_edge,1,1,R,1,1,2,1.96374606841497,2.73910377099252,1.4328825364456,0.00117497025322011,0.0088732631721242,0.327979553341967,3.48058678887658e-08,1.4230562267502e-08,2.24124513618677e-08,0.0595032646959348,1.49416342412452e-09,1.64111338152678,40.4849043764723,5.81538722160312,0.985646517520462,5,84.7974782004592,0.0632679120110898,0,,21,0,2,1,0,1,3.13332287996198,dielectric,0.00165656060881971,0.000633432969460919,0.382378384520586,0,B,1,37.0723435277123,37.0723435277123,brick,1.08586273344216,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
3,A,2.5,2,2.7,4.53917794538941,1.85388511672031,0.65,2,2.89518501171832,44.9217206719848,44.9217206719848,20.2624240652196,33.7455276702054,0.820383229409004,drywall,patch_ffd,drywall,20,9.46303501945525e-09,1.01733999309408,leading_edge,1,1,R,1,1,2,1.25365774082541,0.90156362902757,1.85756069099217,0.00271190611983629,0.0129867188231366,0.33257475249055,2.65448269836062e-08,9.66433119273029e-09,1.89260700389105e-08,0.0583966877498692,3.48638132295721e-09,2.01066980641337,70.1604134717698,7.67134020668933,0.992577216059791,3,120.701870194692,0.0620183542157682,0,,20,0,2,1,1,0,2.89518501171832,dielectric,0.00179281781186685,0.00048058154094729,0.26805932971341,0,A,2,44.9217206719848,44.9217206719848,drywall,0.820383229409004,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
4,A,2.5,2,2.7,1.36306645784439,3.58736396617248,0.2,2,3.17211951861548,37.9901499127371,37.9901499127371,10.3357068791839,31.0610731638781,0.885712199979298,brick,patch_ffd,brick,18,8.46692607003891e-09,1.00491626198357,leading_edge,1,1,R,1,1,2,1.35144499510967,0.047063010708606,0.804322407043717,0.0901775975137664,0.00673959823076567,0.310696695289097,7.34765239948301e-08,3.18190066813131e-08,1.79299610894942e-08,0.0343591959239854,4.48249027237356e-09,1.63671848729245,41.5468780897575,5.92516529926429,0.912167953187713,6,71.7718026711367,0.0355817564657103,0,,23,0,2,1,0,1,3.17211951861548,dielectric,0.00163630002816666,0.000565445595961513,0.34556351905405,0,A,2,37.9901499127371,37.9901499127371,brick,0.885712199979298,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
5,B,2.5,2,2.7,0.523681019728109,3.69251274308721,0.65,2,3.31254224083188,51.7670642603262,51.7670642603262,29.367126455203,30.3166750960075,1.17324427632457,drywall,patch_ffd,drywall,21,9.96108949416342e-09,1.65170507192302,leading_edge,1,1,R,1,1,2,1.09610235905067,-1.72876001513817,0.927378452284363,0.00243775281830294,0.0137200297650726,0.351406254386667,8.80518834759632e-09,1.04560149658023e-08,1.49416342412451e-08,0.0653520502369569,5.97665369649808e-09,1.79383966967353,67.783131163905,7.6540073047205,0.999409874274914,2,114.216591197013,0.0699215680658426,0,,16,0,2,1,0,1,3.31254224083188,dielectric,0.00156693526611604,0.000538330177035311,0.34355610514126,0,B,2,51.7670642603262,51.7670642603262,drywall,1.17324427632457,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
6,B,2.5,2,2.7,2.72222222222222,1.35714285714286,0.2,1,2.59087784779056,15.2202177920417,15.2202177920417,39.00464319879,38.7914464623583,0.8079259140512,glass,patch_ffd,glass,13,5.97665369649805e-09,1.9865187547661,leading_edge,1,1,R,1,1,2,2.2801791126216,4.41582104045249,0.150153058878927,0.177667164499004,0.00697097252328085,0.300870336570796,6.04907485238063e-09,6.34184710442615e-09,1.29494163424125e-08,0.0584122286672547,9.96108949416347e-10,1.70154683590737,48.146021813767,6.57982629948549,0.999824711626418,3,79.1640021404161,0.0620358828413592,0,,21,0,2,1,1,0,2.59087784779056,dielectric,0.00200339018764814,0.000622246757228127,0.310596887747866,0,B,1,15.2202177920417,15.2202177920417,glass,0.8079259140512,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
7,B,2.5,2,2.7,0.510635975893179,0.511993127832276,0.2,2,3.5244479953645,44.8194954077812,44.8194954077812,29.8721492655425,21.946540025606,1.16817457770395,wood,patch_ffd,wood,20,9.46303501945525e-09,3.86776803667132,leading_edge,1,1,R,1,1,2,0.412680269843862,-8.8039413341194,0.304977153732548,0.0739889529775348,0.0131759563414075,0.312154217614149,1.02856162633313e-08,3.54741693044858e-09,5.97665369649806e-09,0.086489504138682,7.96887159533077e-09,1.94978996641575,94.901974432352,9.29628106788107,0.999278010067586,1,139.007056571588,0.0946781723149595,0,,18,0,2,1,0,1,3.5244479953645,dielectric,0.00147272403068093,0.000600457831089455,0.407719177918097,0,B,2,44.8194954077812,44.8194954077812,wood,1.16817457770395,1,0,0,1,1,0,1,0,mixed_0p33_primary_with_dual_aux
8,B,2.5,2,2.7,0.305567437085059,0.386409608701658,0.65,2,3.40906266062561,53.0341922697256,53.0341922697256,36.2971971853117,34.1687488442215,0.954370880881107,brick,patch_ffd,brick,20,9.46303501945525e-09,5.23742464937643,leading_edge,1,1,R,1,1,2,0.679777806740532,-5.37181445989676,0.467180980223503,0.052423879937593,0.0195808849380204,0.388045528451428,5.26397631322935e-09,3.05660997172468e-09,5.97665369649806e-09,0.127311005747228,2.98832684824904e-09,1.7177393553709,91.768150791592,9.18708063637274,0.999856130267328,1,133.678038205666,0.145883592649448,0,,17,0,2,1,1,0,3.40906266062561,dielectric,0.00152257079859776,0.000480174771353258,0.315371063070094,0,B,2,53.0341922697256,53.0341922697256,brick,0.954370880881107,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
9,C,2.5,2,2.7,0.469324870197707,2.0343235244519,1.2,2,2.52484050726543,53.5517188043819,53.5517188043819,33.242836211204,21.7089417275198,1.14379555093169,brick,patch_ffd,brick,18,8.46692607003891e-09,2.39115054871598,leading_edge,1,1,R,1,1,2,1.53808069737595,-1.78656173117744,0.884420191140725,0.00282910198480901,0.0116511964778707,0.396860163745664,8.33544665772327e-09,5.77946182594983e-09,1.04591439688716e-08,0.0801877368099205,2.98832684824904e-09,1.76451277311801,50.3765287835137,6.793027439023,0.99947555011185,4,76.0481451990974,0.0871783732604461,0,,21,0,2,1,1,0,2.52484050726543,dielectric,0.00205578896675744,0.000570431096529265,0.277475512201525,0,C,2,53.5517188043819,53.5517188043819,brick,1.14379555093169,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
10,B,2.5,2,2.7,0.46303993431324,2.27004729300188,1.2,2,2.54403849217347,53.8703985863295,53.8703985863295,34.874283567919,30.3823728949156,1.19939833399774,brick,patch_ffd,brick,19,8.96498054474708e-09,3.89994197295646,leading_edge,1,1,R,1,1,2,0.699221324693467,-3.6562864269262,0.281469751210925,0.141495235678237,0.0120426308479393,0.306103850437426,6.35025372251273e-09,8.93105151701716e-09,1.24513618677043e-08,0.0542176314316893,2.49027237354087e-09,2.02317930620661,81.2388652987064,8.36767974753248,0.999776985401342,4,132.122536684775,0.0573256948252925,0,,21,0,2,1,1,0,2.54403849217347,dielectric,0.00204027544143959,0.000583951592569189,0.286212136218804,0,B,2,53.8703985863295,53.8703985863295,brick,1.19939833399774,1,0,0,1,0,1,0,1,mixed_0p33_primary_with_dual_aux
