case_id,room_type_cases,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,grid_layer_cases,los_distance_m,los_angle_from_anchor_bore_deg_cases,los_angle_from_tag_bore_deg_cases,snr_db,xpol_coupling_db,eps_r_multiplier_cases,dominant_wall_material_cases,antenna_type,material_name,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,room_type_results,grid_layer_results,los_angle_from_anchor_bore_deg_results,los_angle_from_tag_bore_deg_results,dominant_wall_material_results,eps_r_multiplier_results
1,B,2.5,2,2.7,1.83333333333333,1.78571428571429,1.2,1,1.65540412340654,25.0250200534645,25.0250200534645,35.6604316741736,37.7308484607883,1.18161275140818,brick,patch_ffd,brick,7,2.98832684824903e-09,2.79012891355952,leading_edge,1,1,R,1,1,2,21.7634943818358,22.0885524173269,11.6448770557662,0.00717068426531287,0.0140016712700136,0.349943341083021,3.59150021212333e-08,9.08249307661396e-09,1.69338521400778e-08,0.105409129854267,1.49416342412452e-09,1.67966808494822,67.534504173318,7.55592145878832,0.986794300578022,3,117.537790881675,0.117829427252142,-21.8852448955823,-20.8878668232901,-21.0042303342263,-0.987126370761195,-0.983829713729871,-0.984253856693122,0,-21.3226981540446,0.105409129854266,0.12911588738839,0.0237067575341239,0.863839119266359,154.356346132081,1040.90341903714,-1.24365623224423e-09,0.568786824735201,0,,21,0,2,1,1,0,1.65540412340654,dielectric,0.00313551185735679,0.000621162791084704,0.198105706290755,0,B,1,25.0250200534645,25.0250200534645,brick,1.18161275140818
2,B,2.5,2,2.7,0.944444444444444,3.07142857142857,0.2,1,3.13332287996198,37.0723435277123,37.0723435277123,21.0532488261369,39.8275457604701,1.08586273344216,brick,patch_ffd,brick,17,7.96887159533074e-09,4.27823079518106,leading_edge,1,1,R,1,1,2,2.88194717201057,8.17023209103115,2.40897658121329,0.00193045320996788,0.023818122589105,0.403914702835346,6.09758412828402e-08,1.44682485799611e-08,7.47081712062257e-09,0.173821264817683,9.96108949416347e-10,1.65442278555136,99.1684624082146,9.25859113251072,0.960139981203051,4,150.07948009885,0.210391840670318,-8.18991936497165,-9.53816113955907,-9.33113252335722,-0.736551499569655,-0.79982320444312,-0.79107064493399,0,-7.63665156078529,0.173821264817681,0.133653885843349,-0.0401673789743324,0.775425058771555,6.59161656541204,42.7038919781901,-2.52732044783392e-11,0.102044149330053,0,,21,0,2,1,0,1,3.13332287996198,dielectric,0.00165656060881971,0.000633432969460919,0.382378384520586,0,B,1,37.0723435277123,37.0723435277123,brick,1.08586273344216
3,A,2.5,2,2.7,4.53917794538941,1.85388511672031,0.65,2,2.89518501171832,44.9217206719848,44.9217206719848,20.2624240652196,33.7455276702054,0.820383229409004,drywall,patch_ffd,drywall,15,6.9727626459144e-09,2.22104512666802,leading_edge,1,1,R,1,1,2,6.78221664535685,12.0950746768345,4.26515905404385,0.0121867163273571,0.0109337698105378,0.308875083031224,7.84376799555089e-08,2.43956752322936e-08,9.46303501945525e-09,0.0873026275769388,9.96108949416347e-10,1.69507171943934,82.1594453384664,8.43354380951662,0.919451480403361,2,117.814105644717,0.0956534227168472,-13.2127842215907,-11.9540297639617,-12.0787046333444,-0.908902727066133,-0.880110694761405,-0.883305519266244,4.98054474708173e-10,-16.8113471476646,0.0873026275769368,0.218380769798645,0.131078142221708,0.834701640472881,20.9545540232766,163.864030136685,-1.72453086595778e-09,0.628349668457743,0,,20,0,2,1,0,1,2.89518501171832,dielectric,0.00179281781186685,0.00048058154094729,0.26805932971341,0,A,2,44.9217206719848,44.9217206719848,drywall,0.820383229409004
4,A,2.5,2,2.7,1.36306645784439,3.58736396617248,0.2,2,3.17211951861548,37.9901499127371,37.9901499127371,10.3357068791839,31.0610731638781,0.885712199979298,brick,patch_ffd,brick,18,8.46692607003891e-09,5.42299501492339,leading_edge,1,1,R,1,1,2,3.321237156031,7.58725647194536,2.45811992727427,0.00605126585159899,0.0240787165910513,0.44744775749741,1.15344615967382e-07,4.92237667255581e-08,4.98054474708171e-09,0.154242087463689,1.49416342412452e-09,1.65640440371163,100.176023390204,9.38842797333851,0.830711803577781,3,123.635098177333,0.182371438892174,-7.70116898814365,-4.79674780732817,-5.3883772159987,-0.70972515452875,-0.502201648991998,-0.551378529095418,-4.98054474708173e-10,-3.92442874317898,0.154242087463688,0.143543219511851,-0.0106988679518373,0.571168487353481,5.89002175422075,16.5086395381199,2.25854395693627e-09,0.883527048029881,0,,23,0,2,1,0,1,3.17211951861548,dielectric,0.00163630002816666,0.000565445595961513,0.34556351905405,0,A,2,37.9901499127371,37.9901499127371,brick,0.885712199979298
5,B,2.5,2,2.7,0.523681019728109,3.69251274308721,0.65,2,3.31254224083188,51.7670642603262,51.7670642603262,29.367126455203,30.3166750960075,1.17324427632457,drywall,patch_ffd,drywall,18,8.46692607003891e-09,3.46525723204145,leading_edge,1,1,R,1,1,2,2.46590778173345,6.28727407255507,1.79398368968942,0.0236755554264937,0.0146826894919477,0.32924536997098,1.59117218398957e-08,4.11343131480839e-09,6.47470817120622e-09,0.115638536786895,1.49416342412452e-09,1.68769503896345,91.1615598594755,9.03773919684011,0.997763121163323,2,139.238512926258,0.130759357567155,-5.66815914124371,-5.41625628363416,-5.44547580757874,-0.573398160363799,-0.553608464919961,-0.555937128047578,4.98054474708173e-10,-9.22594715718908,0.115638536786894,0.23211070451965,0.116472167732756,0.683097978212141,3.68821231925654,26.6051642519318,-8.52479100207207e-11,0.113075963164298,0,,16,0,2,1,0,1,3.31254224083188,dielectric,0.00156693526611604,0.000538330177035311,0.34355610514126,0,B,2,51.7670642603262,51.7670642603262,drywall,1.17324427632457
6,B,2.5,2,2.7,2.72222222222222,1.35714285714286,0.2,1,2.59087784779056,15.2202177920417,15.2202177920417,39.00464319879,38.7914464623583,0.8079259140512,glass,patch_ffd,glass,15,6.9727626459144e-09,2.240686899295,leading_edge,1,1,R,1,1,2,15.3933532624916,19.6652160741732,19.2930179255919,0.00442341175586003,0.0211017560893499,0.411757587184123,2.43684013569648e-08,7.49570015755226e-09,1.14552529182879e-08,0.111505403559782,1.49416342412452e-09,1.63530845948098,70.2446065423134,7.82016211845662,0.993999516739416,4,127.946524319286,0.125499247836207,-25.8425804622041,-19.111301607287,-20.6269500058486,-0.994804321686559,-0.975756062127771,-0.982837046576071,-4.98054474708173e-10,-22.7141326601944,0.111505403559779,0.227604540904816,0.116099137345036,0.620273673664833,383.93530186923,648.224448147622,-5.65459330898072e-09,0.207779917138885,0,,21,0,2,1,0,1,2.59087784779056,dielectric,0.00200339018764814,0.000622246757228127,0.310596887747866,0,B,1,15.2202177920417,15.2202177920417,glass,0.8079259140512
7,B,2.5,2,2.7,0.510635975893179,0.511993127832276,0.2,2,3.5244479953645,44.8194954077812,44.8194954077812,29.8721492655425,21.946540025606,1.16817457770395,wood,patch_ffd,wood,23,1.09571984435798e-08,1.20405883832849,leading_edge,1,1,R,1,1,2,8.11684932288946,17.020052874575,21.4151697934284,0.116101931537913,0.0136668568559492,0.328371365886786,4.29979449811455e-08,9.7449541559685e-09,1.19533073929961e-08,0.104725290458943,2.49027237354087e-09,1.85759904008957,80.5506423287186,8.28542852506553,0.980178338207814,2,130.296035438792,0.116975593460725,-24.3068082100315,-12.4948945017107,-16.5997438933703,-0.992608354572479,-0.893400995034556,-0.957179062452173,-1.49416342412452e-09,-19.4120313403288,0.104725290458934,0.190211857754524,0.0854865672955898,0.337876996698101,269.575749284823,150.688765685818,-1.89306422092004e-09,0.0962931363491157,0,,18,0,2,1,0,1,3.5244479953645,dielectric,0.00147272403068093,0.000600457831089455,0.407719177918097,0,B,2,44.8194954077812,44.8194954077812,wood,1.16817457770395
8,B,2.5,2,2.7,0.305567437085059,0.386409608701658,0.65,2,3.40906266062561,53.0341922697256,53.0341922697256,36.2971971853117,34.1687488442215,0.954370880881107,brick,patch_ffd,brick,19,8.96498054474708e-09,0.529587338832697,leading_edge,1,1,R,1,1,2,11.8422454586578,16.2792461667277,14.0147450347136,0.0112494866707428,0.00625648993684459,0.338399282839057,2.4517463306381e-08,1.23430934927501e-08,1.89260700389105e-08,0.0231960358961351,2.98832684824904e-09,2.26160151804908,34.6459960263484,5.6143279110109,0.993693299129084,4,56.1649009179227,0.0237468691247742,-26.2871826748707,-17.6861556510281,-18.2725053814881,-0.995308714844733,-0.966497453150153,-0.970666585800191,0,-22.931704023919,0.0231960358961306,0.14685255315345,0.12365651725732,0.84041271641881,425.322411407052,2470.28023742474,-9.03730030395111e-09,0.709038507298387,0,,17,0,2,1,0,1,3.40906266062561,dielectric,0.00152257079859776,0.000480174771353258,0.315371063070094,0,B,2,53.0341922697256,53.0341922697256,brick,0.954370880881107
9,C,2.5,2,2.7,0.469324870197707,2.0343235244519,1.2,2,2.52484050726543,53.5517188043819,53.5517188043819,33.242836211204,21.7089417275198,1.14379555093169,brick,patch_ffd,brick,13,5.97665369649805e-09,2.84316964378419,leading_edge,1,1,R,1,1,2,8.57250846273066,10.4555172286492,3.1449233171295,0.0107409539045277,0.0102755569046513,0.321910560102497,1.24221224202996e-08,5.40010795196463e-09,1.24513618677043e-08,0.0743582591249999,1.49416342412452e-09,1.68880476428677,61.4731182996678,7.32227365853506,0.998638745668778,3,101.936105187254,0.0803315752104153,-10.4674015767386,-7.65736111377061,-7.9415298465903,-0.835204862338271,-0.707213110489795,-0.72319087554039,0,-9.95220120958914,0.0743582591249989,0.133019829407836,0.0586615702828373,0.746814101793503,11.1362804047363,72.5659508721751,-2.79195260277957e-09,0.704536112708211,0,,21,0,2,1,0,1,2.52484050726543,dielectric,0.00205578896675744,0.000570431096529265,0.277475512201525,0,C,2,53.5517188043819,53.5517188043819,brick,1.14379555093169
10,B,2.5,2,2.7,0.46303993431324,2.27004729300188,1.2,2,2.54403849217347,53.8703985863295,53.8703985863295,34.874283567919,30.3823728949156,1.19939833399774,brick,patch_ffd,brick,13,5.97665369649805e-09,2.84073782611927,leading_edge,1,1,R,1,1,2,3.79343445279539,8.26739050352148,2.46003655646542,0.0128844928466568,0.0128306990583244,0.367019253578451,9.57532258144162e-09,5.08271161102248e-09,1.09571984435798e-08,0.0954439016863289,9.96108949416347e-10,1.66203978267408,54.7504484775636,6.90617461967676,0.99915185608187,2,97.9187223595079,0.105514629622487,-8.3638398312164,-6.62557843138132,-6.82479030498367,-0.745577685875358,-0.642722029943791,-0.655985007419364,0,-7.81883121648089,0.0954439016863278,0.136035775683775,0.0405918739974472,0.715175841802051,6.86094571492698,43.5629495049994,1.55968890594255e-10,0.127882187832354,0,,21,0,2,1,0,1,2.54403849217347,dielectric,0.00204027544143959,0.000583951592569189,0.286212136218804,0,B,2,53.8703985863295,53.8703985863295,brick,1.19939833399774
