hfss_rank,group,reason,regime_desc,case_id,room_type,grid_layer,anchor_x,anchor_y,anchor_z,tag_x,tag_y,tag_z,los_angle_deg,snr_db,xpol_coupling_db_expected,label_component,label_positive,lambda_l_late_fraction,gamma_delay_linear,delta_f_l_minus_r_fp
1,GEO,theta0_cp16_stage3_candidate,dominant_wall_material_bin=concrete,302,C,1,2.5,2,2.7,1.38888888888889,0.928571428571429,0.2,31.6919067778889,14.2578393869568,25.1698148107605,geo,True,0.131532710618877,1.62816168111536,-0.0270703226280388
2,GEO,theta0_cp16_stage3_candidate,dominant_wall_material_bin=concrete,199,C,1,2.5,2,2.7,1.38888888888889,0.5,0.2,36.7479575427555,12.5019015637996,23.0492773910146,geo,True,0.185692609968771,1.89090313829293,-0.020507735710757
3,GEO,theta0_cp16_stage3_candidate,dominant_wall_material_bin=concrete,261,C,1,2.5,2,2.7,0.5,2.64285714285714,0.2,40.0407024618274,26.7548072657736,33.672584400668,geo,True,0.0990145190046889,1.59098314994228,0.06844445710719
4,GEO,theta0_cp16_stage3_candidate,dominant_wall_material_bin=concrete,570,B,2,2.5,2,2.7,3.93214264083614,0.360192448713794,0.65,46.7229593433139,26.816965982607,30.7232660240076,bounce,False,0.662363453328447,70.5837051026902,0.0549992158841063
5,GEO,theta0_cp16_stage3_candidate,dominant_wall_material_bin=concrete,592,C,2,2.5,2,2.7,3.74787991530513,0.33460553626043,0.65,45.4305549154907,24.9445916755431,29.3072048674391,bounce,False,0.570262052870297,45.2620272736518,0.107884499575965
6,GEO,theta0_cp16_stage3_candidate,"xpol_bin=(24.017, 27.995]",640,C,2,2.5,2,2.7,3.44566596997183,0.540131556301417,0.65,40.3141409088101,13.6437352503218,25.9572761797055,geo,True,0.20704138525836,3.33448737590957,-0.0151642659033338
7,GEO,theta0_cp16_stage3_candidate,"xpol_bin=(24.017, 27.995]",393,C,2,2.5,2,2.7,0.366888541053432,2.6969467563246,0.65,47.5878543824157,14.9327239992669,27.1205918124456,geo,True,0.13436189817383,1.37918421220403,-0.0778772601022998
8,GEO,theta0_cp16_stage3_candidate,"xpol_bin=(24.017, 27.995]",889,C,1,2.5,2,2.7,2.72222222222222,0.928571428571429,1.2,36.1102820956784,20.1683027809171,26.7854614189879,geo,True,0.215528050472336,3.56835507057355,-0.0056129706883337
9,GEO,theta0_cp16_stage3_candidate,"xpol_bin=(24.017, 27.995]",18,A,2,2.5,2,2.7,4.46232142339752,2.81197879633992,0.65,46.0113594292648,31.485721514986,25.7251943052233,negative,False,0.704711283617548,32.7898040537356,0.0265455710193767
10,GEO,theta0_cp16_stage3_candidate,"xpol_bin=(24.017, 27.995]",119,A,2,2.5,2,2.7,0.462302575529016,2.86115707742898,0.65,47.1792883928313,22.3810982932665,25.525950099478,negative,False,0.766776649563639,35.5859990948093,0.0533582519503681
11,GEO,theta0_cp16_stage3_candidate,"los_angle_bin=(46.115, 52.704]",628,C,2,2.5,2,2.7,0.543412667518908,3.37804187173629,0.65,49.4164219941557,31.1634603783259,28.0914111008304,geo,True,0.190384055092353,1.68940816407063,-0.0867873266673857
12,GEO,theta0_cp16_stage3_candidate,"los_angle_bin=(46.115, 52.704]",731,C,2,2.5,2,2.7,0.580713477804145,3.57226293248889,0.65,50.4344773166414,28.0867592680827,28.7289876835267,geo,True,0.1152117587424,0.806009286077831,-0.103492836705568
13,GEO,theta0_cp16_stage3_candidate,"los_angle_bin=(46.115, 52.704]",44,C,2,2.5,2,2.7,0.492131328349708,3.68606513490417,0.65,51.9789958285258,19.4509222507302,37.8700711799715,geo,True,0.368663052275683,3.47180987187831,-0.0361125680545878
14,GEO,theta0_cp16_stage3_candidate,"los_angle_bin=(46.115, 52.704]",242,B,1,2.5,2,2.7,4.05555555555556,2.64285714285714,1.2,48.2931392523252,36.835019843317,28.5154363661774,negative,False,0.725886668842401,38.0432079817452,0.0186043208652083
15,GEO,theta0_cp16_stage3_candidate,"los_angle_bin=(46.115, 52.704]",140,A,1,2.5,2,2.7,4.05555555555556,1.78571428571429,1.2,46.3106697646876,28.5366893177282,31.2887399929588,negative,False,0.755107517921823,115.973847256595,0.0687341141780485
16,BOUNCE,theta0_cp16_stage3_candidate,"los_angle_bin=(40.556, 46.115]",202,B,1,2.5,2,2.7,0.5,3.07142857142857,0.2,42.2257715803606,26.3461956209139,29.9468989905901,bounce,True,0.673983394640825,23.6576476562112,0.0180432805931607
17,BOUNCE,theta0_cp16_stage3_candidate,"los_angle_bin=(40.556, 46.115]",104,B,2,2.5,2,2.7,0.448211874793618,3.13488344383212,0.2,43.1644351716274,27.0738240010734,30.4131161403184,bounce,True,0.723491910349565,35.6715298991494,0.0108473322731533
18,BOUNCE,theta0_cp16_stage3_candidate,"los_angle_bin=(40.556, 46.115]",89,A,1,2.5,2,2.7,0.5,0.928571428571429,0.2,42.2257715803606,32.1236609321559,32.4214544943607,bounce,True,0.549907783383841,115.412359052075,0.0272718107460553
19,BOUNCE,theta0_cp16_stage3_candidate,"los_angle_bin=(40.556, 46.115]",280,A,1,2.5,2,2.7,3.61111111111111,3.07142857142857,1.2,45.8196691153216,24.6739191572807,32.7715197981812,negative,False,0.769666454364823,48.7863055927193,0.100169920027805
20,BOUNCE,theta0_cp16_stage3_candidate,"los_angle_bin=(40.556, 46.115]",72,B,2,2.5,2,2.7,4.48521562726285,2.58131574584309,0.65,45.2584273014739,31.0426019239773,35.8522962640098,negative,False,0.787756170835282,66.5345841057842,0.110484260611459
21,BOUNCE,theta0_cp16_stage3_candidate,"xpol_bin=(31.988, 35.975]",594,A,2,2.5,2,2.7,4.56881089209194,1.76180756524741,0.2,39.7939987318117,30.7219025599282,34.6192078609847,bounce,True,0.78306048060132,201.479405938063,0.102459774054509
22,BOUNCE,theta0_cp16_stage3_candidate,"xpol_bin=(31.988, 35.975]",358,B,1,2.5,2,2.7,3.16666666666667,0.5,0.2,33.2885231343062,17.59734136377,34.4619803622333,bounce,True,0.650079379722007,84.095936220111,0.0781899555024615
23,BOUNCE,theta0_cp16_stage3_candidate,"xpol_bin=(31.988, 35.975]",353,B,1,2.5,2,2.7,3.61111111111111,0.928571428571429,0.2,31.6919067778889,27.5986871944874,33.6976550051536,bounce,True,0.656577016003678,233.842688243212,0.10737836167108
24,BOUNCE,theta0_cp16_stage3_candidate,"xpol_bin=(31.988, 35.975]",831,B,2,2.5,2,2.7,3.1300179449856,0.349795296361635,1.2,49.6622703711951,19.2338070734034,33.8973935751282,negative,False,0.694886183764944,50.9819150682146,0.0947285112798252
