group,label_name,axis,axis_value,regime_desc,n,n_pos,n_neg,auc_cir,auc_joint,delta_auc,pr_auc_cir,pr_auc_joint,delta_pr_auc
GEO,is_nlos_geo,dominant_wall_material_bin,concrete,dominant_wall_material_bin=concrete,180,14,166,0.4268502581755593,0.9935456110154905,0.5666953528399312,0.06758384173092029,0.9360801896516181,0.8684963479206979
GEO,is_nlos_geo,xpol_bin,"(24.017, 27.995]","xpol_bin=(24.017, 27.995]",180,13,167,0.4325195762321511,0.9958544449562414,0.5633348687240903,0.06421785481488436,0.9394966144966144,0.87527875968173
GEO,is_nlos_geo,los_angle_bin,"(46.115, 52.704]","los_angle_bin=(46.115, 52.704]",180,14,166,0.5473321858864028,0.9789156626506024,0.4315834767641996,0.08874411196028525,0.8873171028566164,0.798572990896331
GEO,is_nlos_geo,room_type,B,room_type=B,300,7,293,0.590931253047294,0.9809848854217456,0.39005363237445156,0.03422436598920478,0.6173160173160173,0.5830916513268125
GEO,is_nlos_geo,los_angle_bin,"(33.289, 40.556]","los_angle_bin=(33.289, 40.556]",179,17,162,0.6205519244734932,0.9698620188816267,0.34931009440813354,0.15164591620303794,0.7410999289470842,0.5894540127440463
GEO,is_nlos_geo,dominant_wall_material_bin,brick,dominant_wall_material_bin=brick,180,18,162,0.6731824417009601,0.9897119341563786,0.3165294924554185,0.1928063919341762,0.9435506379585328,0.7507442460243565
GEO,is_nlos_geo,xpol_bin,"(35.975, 39.958]","xpol_bin=(35.975, 39.958]",180,14,166,0.7396729776247848,0.9965576592082616,0.25688468158347677,0.205495462921587,0.9564643689643688,0.7509689060427818
GEO,is_nlos_geo,los_angle_bin,"(40.556, 46.115]","los_angle_bin=(40.556, 46.115]",171,15,156,0.7397435897435898,0.9948717948717949,0.2551282051282051,0.18208884977519485,0.960952380952381,0.7788635311771861
GEO,is_nlos_geo,grid_layer_bin,1,grid_layer_bin=1,450,31,419,0.7111401955500808,0.9458002925552391,0.23466009700515833,0.21388956984448407,0.8161425859282082,0.6022530160837242
GEO,is_nlos_geo,xpol_bin,"(27.995, 31.988]","xpol_bin=(27.995, 31.988]",180,18,162,0.7664609053497942,0.9859396433470509,0.2194787379972567,0.2125062643737985,0.9269052050269802,0.7143989406531817
GEO,is_nlos_geo,xpol_bin,"(20.035, 24.017]","xpol_bin=(20.035, 24.017]",180,12,168,0.6865079365079365,0.8993055555555556,0.21279761904761907,0.12129342643381755,0.5089840306752071,0.38769060424138957
GEO,is_nlos_geo,room_type,C,room_type=C,300,60,240,0.768125,0.9786111111111111,0.21048611111111115,0.48709909857083405,0.9497099387632727,0.46261084019243864
BOUNCE,is_nlos_bounce_0p33,los_angle_bin,"(40.556, 46.115]","los_angle_bin=(40.556, 46.115]",156,90,66,0.6328282828282829,0.8368686868686869,0.20404040404040402,0.7337866210963214,0.8882661768798142,0.15447955578349282
GEO,is_nlos_geo,snr_bin,"(28.007, 33.995]","snr_bin=(28.007, 33.995]",180,13,167,0.8010133578995855,0.9709811146936895,0.16996775679410403,0.3545092868189853,0.9141424814501735,0.5596331946311882
GEO,is_nlos_geo,los_angle_bin,"(11.628, 33.289]","los_angle_bin=(11.628, 33.289]",190,19,171,0.796552785472453,0.9445983379501386,0.14804555247768558,0.4068083876498503,0.8419117460585459,0.43510335840869563
BOUNCE,is_nlos_bounce_0p33,xpol_bin,"(31.988, 35.975]","xpol_bin=(31.988, 35.975]",170,76,94,0.518337066069429,0.6549552071668533,0.13661814109742432,0.4619416610067373,0.5488331828368809,0.08689152183014359
BOUNCE,is_nlos_bounce_0p33,los_angle_bin,"(33.289, 40.556]","los_angle_bin=(33.289, 40.556]",162,103,59,0.7003455652460097,0.8272173769952279,0.12687181174921824,0.7989806117281106,0.8926236678458863,0.09364305611777568
BOUNCE,is_nlos_bounce_0p33,los_angle_bin,"(52.704, 61.758]","los_angle_bin=(52.704, 61.758]",178,43,135,0.5981050818260121,0.7145564168819982,0.11645133505598615,0.34031980019627167,0.4489947669441285,0.10867496674785682
GEO,is_nlos_geo,dominant_wall_material_bin,drywall,dominant_wall_material_bin=drywall,180,11,169,0.8536847767616997,0.9445938676707908,0.09090909090909105,0.23482482091177745,0.8596560846560848,0.6248312637443073
BOUNCE,is_nlos_bounce_0p33,los_angle_bin,"(46.115, 52.704]","los_angle_bin=(46.115, 52.704]",166,39,127,0.5909549767817484,0.6694932364223702,0.07853825964062189,0.30545354584281714,0.35847706300830795,0.05302351716549081
