stage,cv_scheme,model,feature_set,n,n_pos,AUC,PR_AUC
stage1,stratified5,cir_only,CIR_only_12,3000.0,2120.0,0.6786170668953688,0.8262822499091473
stage1,stratified5,cp_only,CP_all_RH_LH_16,3000.0,2120.0,0.7004261363636364,0.8306009083007622
stage1,stratified5,joint,Joint_CIR_plus_CP_all,3000.0,2120.0,0.7624758790737564,0.8720293306366749
stage2,fit_all,cir_only,CIR_only_12,900.0,437.0,0.6626567357448933,0.641353871799498
stage2,fit_all,cp_only,CP_all_RH_LH_16,900.0,437.0,0.6965022660887358,0.7246284512727161
stage2,fit_all,joint,Joint_CIR_plus_CP_all,900.0,437.0,0.744581897979054,0.7467243217519172
stage2,stratified5,cir_only,CIR_only_12,900.0,437.0,0.637885445136929,0.6104695924278486
stage2,stratified5,cp_only,CP_all_RH_LH_16,900.0,437.0,0.6831231991143225,0.71421486637133
stage2,stratified5,joint,Joint_CIR_plus_CP_all,900.0,437.0,0.7210560912564066,0.7238779181670315
stage2,room_label_stratified5,cir_only,CIR_only_12,900.0,437.0,0.6396399958483869,0.6156630642711122
stage2,room_label_stratified5,cp_only,CP_all_RH_LH_16,900.0,437.0,0.6832022774562474,0.713771125537578
stage2,room_label_stratified5,joint,Joint_CIR_plus_CP_all,900.0,437.0,0.7147594782806391,0.7194083602026811
stage2,leave_one_room_out,cir_only,CIR_only_12,900.0,437.0,0.617942875782752,0.5966970445059161
stage2,leave_one_room_out,cp_only,CP_all_RH_LH_16,900.0,437.0,0.6741725192877018,0.682005173453615
stage2,leave_one_room_out,joint,Joint_CIR_plus_CP_all,900.0,437.0,0.7092338791386392,0.6950840054690391
