,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar
rms_delay_spread,1.0,0.8618548996789683,0.4185966732797964,-0.6169392150526136,0.7174711662474241,0.16368539529303747,-0.6466680230282762,-0.691561843149549,-0.8589411322927426,0.6726667639525709,-0.7928887952126241,-0.5917140741620104,-0.6099330957865151,-0.5841907970583821,-0.5901599571947166,-0.5537304146280909,-0.55951676065904,-0.5615213126457121,-0.3108479775383307,-0.5854432865298657,-0.6169392150353729,0.17943550224672666,0.4697185183962993,0.5527122688955342,0.12514832017189773,0.23223196168718901,-0.28656689808527214,0.345132219418533
mean_excess_delay,0.8618548996789683,1.0,0.7310866499142926,-0.6650745851936051,0.6041415608159877,0.1914002090514459,-0.7630121294835015,-0.8597605139084362,-0.9985355952391477,0.9379994850603741,-0.8621954344641308,-0.6229399600015757,-0.44495407242518703,-0.4291052975684065,-0.4361598376093039,-0.4082448604632005,-0.42232526368211176,-0.4247649167436559,-0.18497363671666436,-0.4768731257141287,-0.665074585197531,0.18333245498509967,0.4988909840247846,0.4247441592780631,0.14959906574414966,0.3394997400991177,-0.2155750145154459,0.36619327722611755
max_excess_delay,0.4185966732797964,0.7310866499142926,1.0,-0.4548673689056033,0.2137025032627927,0.15491726842345008,-0.6177661397952583,-0.7363350069337383,-0.7303236743804163,0.812177417313415,-0.6045928591436588,-0.41132662483557725,-0.19174168644818998,-0.195502393035198,-0.19831249202601728,-0.15980190546386278,-0.18818550776637613,-0.18896950776810315,-0.04780597227486199,-0.2491999435403351,-0.45486736892038016,0.08176641742369155,0.3089291307887565,0.20661603304511025,0.15424636729076216,0.3747092799948307,-0.10979353252911182,0.22923211636942517
fp_to_total_ratio,-0.6169392150526136,-0.6650745851936051,-0.4548673689056033,1.0,-0.48381663301607764,-0.40291517555385725,0.778020441431946,0.7634553671609294,0.6565331618057826,-0.6059447578868874,0.7958231389265071,0.9969218808752314,0.5325206779272277,0.4691709076469913,0.482275353189893,0.5084663784517415,0.5020552897451022,0.5077749045937567,0.2632051859364203,0.5339276699814284,0.999999999999998,-0.19068347665591157,-0.6872473636380154,-0.503752593783911,-0.11849359728363003,-0.24373751980109218,0.2882960928150823,-0.251051595605886
rise_time_fp,0.7174711662474241,0.6041415608159877,0.2137025032627927,-0.48381663301607764,1.0,0.15101109677201563,-0.504961918699961,-0.5085603451922728,-0.6031539981951506,0.4600153646404948,-0.6103010763463554,-0.4650896016999256,-0.46193825496934826,-0.41545501545962976,-0.428407662654279,-0.4448976410541605,-0.4269622084347479,-0.4332939713464243,-0.2392732181502909,-0.4382219283351904,-0.4838166330044752,0.1960799757888776,0.40933170608102215,0.39097648571183674,0.09126331115765307,0.06521456057298258,-0.23499611719481966,0.22511034445678196
fp_kurtosis,0.16368539529303747,0.1914002090514459,0.15491726842345008,-0.40291517555385725,0.15101109677201563,1.0,-0.15912216780339677,-0.17099657751288272,-0.18861663460999897,0.18387613295413577,-0.17116707569221964,-0.40488235961107405,-0.15098227647645943,-0.12791234133224416,-0.13462776255868586,-0.14859246207492896,-0.1456267946590865,-0.1490414644348949,-0.05527269955021079,-0.16998153792537868,-0.4029151755595439,0.08915103441508875,0.2860205168679692,0.1479234242377598,0.04057829121130405,-0.0389461235964753,-0.037316885123007064,0.020152471916285216
kurtosis_total,-0.6466680230282762,-0.7630121294835015,-0.6177661397952583,0.778020441431946,-0.504961918699961,-0.15912216780339677,1.0,0.9779625907206879,0.7545123510092234,-0.745888827165007,0.965776524037056,0.7474112681874217,0.532770020377763,0.4596300155095738,0.46980175474978647,0.5157046177756903,0.506388954239483,0.5114679941796482,0.3292581409957039,0.49794908262691373,0.7780204414243694,-0.15507646915375414,-0.5396659177708555,-0.5022421987949405,-0.13670013193164862,-0.3016718739816462,0.3358724795970947,-0.3701569391903228
skewness_total,-0.691561843149549,-0.8597605139084362,-0.7363350069337383,0.7634553671609294,-0.5085603451922728,-0.17099657751288272,0.9779625907206879,1.0,0.8537091784670818,-0.8549436336980408,0.9630450422532297,0.7257053806860339,0.4972477040940032,0.43941414176692495,0.44877935137905,0.4734672043247455,0.4737174369210527,0.4781476907906375,0.28491999261684425,0.4850280879905617,0.7634553671590781,-0.15333786658490292,-0.5304247604229138,-0.47402060677171876,-0.1443670850981758,-0.34739957757947926,0.3083932319529037,-0.38231702267988277
energy_concentration_50ns,-0.8589411322927426,-0.9985355952391477,-0.7303236743804163,0.6565331618057826,-0.6031539981951506,-0.18861663460999897,0.7545123510092234,0.8537091784670818,1.0,-0.9393774002006677,0.855886841922726,0.6142947107679742,0.4390328232439695,0.42365339067472924,0.43069264608881075,0.40267242184369484,0.41674513809642044,0.4191909965515636,0.18112514424283221,0.4716570727951806,0.656533161809923,-0.18274237255805628,-0.493789497855099,-0.41899686444678574,-0.144231794277559,-0.33616563939003063,0.21770531474146496,-0.364617289933779
num_significant_peaks,0.6726667639525709,0.9379994850603741,0.812177417313415,-0.6059447578868874,0.4600153646404948,0.18387613295413577,-0.745888827165007,-0.8549436336980408,-0.9393774002006677,1.0,-0.7953604925831531,-0.5579580994162643,-0.3176648672763224,-0.302928828682133,-0.30991732508393127,-0.2827007504994336,-0.2989522625652826,-0.30125769570731004,-0.11722368743467598,-0.3618030709511766,-0.6059447579008862,0.13603460242634013,0.4315972671833716,0.3029856166361471,0.14993225142783373,0.34388374576385305,-0.1717192793153362,0.34925423984195336
