,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,xpr_fp_db,xpr_late_db,xpr_all_db,s3_fp,s3_late,s3_all,delta_tau_l_given_r_s,delta_p_l_given_r_db,f_r_fp,f_l_fp,delta_f_l_minus_r_fp,lambda_l_late_fraction,gamma_anchor_linear,gamma_delay_linear,cp_phase_slope_delay_s,cp_phase_residual_circvar
rms_delay_spread,1.0,0.9720022386669154,0.2995949570263077,-0.44006379467375495,0.579023879856198,0.06446368488094074,-0.461233434803715,-0.5041044835671649,-0.9988429429825493,0.4683640251611113,-0.6195396159488462,-0.44006379467375495,-0.7293004210333801,-0.638967557663062,-0.6451079765675529,-0.7293002765889196,-0.638967557663062,-0.6451079765675529,-0.43963121083909035,-0.6019669482185498,-0.44006379467375495,0.07409758112195346,0.35853976205997357,0.616227659580851,0.7293004210333801,0.6684566604951845,-0.3858833793203755,0.4278192506465834
mean_excess_delay,0.9720022386669154,1.0,0.4181615174504066,-0.547148992349888,0.5766955955192133,0.1258433439611469,-0.5791384043487116,-0.6202275346919482,-0.9712705190300577,0.5140786650514335,-0.721510455723384,-0.547148992349888,-0.7419178259908695,-0.6351212656801406,-0.6429621083291231,-0.7419175944352883,-0.6351212656801406,-0.6429621083291231,-0.4666300992078334,-0.6079978986664332,-0.547148992349888,0.06666041362893485,0.4114231208247912,0.6127640969737885,0.7419178259908695,0.6732654956961662,-0.4223241531471281,0.470829602092178
max_excess_delay,0.2995949570263077,0.4181615174504066,1.0,-0.6969976040066245,0.27882305389109335,0.2854393299211261,-0.8108597133371752,-0.7876935573550765,-0.3017325998500422,0.3566600956310427,-0.742209079731211,-0.6969976040066245,-0.44197508471372043,-0.34973215019518605,-0.35809004449877885,-0.4419744350658936,-0.34973215019518605,-0.35809004449877885,-0.3419521330596961,-0.39794245531180633,-0.6969976040066245,0.08758629819861247,0.477822291137634,0.34407847207489844,0.44197508471372043,0.4119323031424525,-0.35959857437802245,0.3011069577820009
fp_to_total_ratio,-0.44006379467375495,-0.547148992349888,-0.6969976040066245,1.0,-0.29190493907478854,-0.6547693339005973,0.6610301943366883,0.6598256955361884,0.44090436810048533,-0.423003919191664,0.6577267895251988,1.0,0.5247155894128432,0.44816695735188417,0.4621770820196758,0.5247148080794232,0.44816695735188417,0.4621770820196758,0.26909474878717077,0.532569055618784,1.0,-0.14158357306484146,-0.6865750665083408,-0.4733105085900565,-0.5247155894128432,-0.5420706562300729,0.3381072446785827,-0.2663108349234261
rise_time_fp,0.579023879856198,0.5766955955192133,0.27882305389109335,-0.29190493907478854,1.0,-0.0546369469888152,-0.47649569894420896,-0.49653791568625016,-0.579149126205173,0.4100283173723416,-0.5583490245520544,-0.29190493907478854,-0.5755092386785576,-0.520007266518715,-0.5299978660311858,-0.5755092386785576,-0.520007266518715,-0.5299978660311858,-0.39342436880487514,-0.5274222905590872,-0.29190493907478854,0.25348791219827194,0.3973167271983406,0.460815106192321,0.5755092386785576,0.5356364048965925,-0.34961072863301057,0.18574992003796878
fp_kurtosis,0.06446368488094074,0.1258433439611469,0.2854393299211261,-0.6547693339005973,-0.0546369469888152,1.0,-0.11948713677560617,-0.11505479877052738,-0.06420714084206007,0.043902403814647495,-0.10140270647925471,-0.6547693339005973,-0.14712600007554058,-0.13099842429798353,-0.13376750249543048,-0.14712535563099846,-0.13099842429798353,-0.13376750249543048,0.013528660582342504,-0.19745461214756582,-0.6547693339005973,0.057588360727836053,0.38796465613153264,0.24520733760697894,0.14712600007554058,0.19458002371190597,-0.05528415637862108,-0.04322937855165252
kurtosis_total,-0.461233434803715,-0.5791384043487116,-0.8108597133371752,0.6610301943366883,-0.47649569894420896,-0.11948713677560617,1.0,0.9927525023058336,0.46149258727695414,-0.579235623267775,0.9543577398175267,0.6610301943366883,0.5826287971809775,0.46227088691898743,0.4701563700173744,0.5826284816253868,0.46227088691898743,0.4701563700173744,0.5022593859282702,0.4918919550991061,0.6610301943366883,-0.12609702467744718,-0.5000622355624706,-0.44002301244700137,-0.5826287971809775,-0.5131193619021513,0.4865741740637971,-0.419498808833201
skewness_total,-0.5041044835671649,-0.6202275346919482,-0.7876935573550765,0.6598256955361884,-0.49653791568625016,-0.11505479877052738,0.9927525023058336,1.0,0.5041496093499566,-0.6282477527283828,0.9550211710023523,0.6598256955361884,0.6007755116417235,0.4726646569627397,0.48066585296287256,0.6007752631972515,0.4726646569627397,0.48066585296287256,0.5265787768339985,0.4968681974297997,0.6598256955361884,-0.10878951164327907,-0.48971398863488763,-0.450727544747505,-0.6007755116417235,-0.522816358535151,0.5014324868258319,-0.4568158112017568
energy_concentration_50ns,-0.9988429429825493,-0.9712705190300577,-0.3017325998500422,0.44090436810048533,-0.579149126205173,-0.06420714084206007,0.46149258727695414,0.5041496093499566,1.0,-0.4654818288018774,0.6199331608814623,0.44090436810048533,0.7312923528102614,0.6427733536414837,0.6489174796574977,0.7312921630324626,0.6427733536414837,0.6489174796574977,0.4398291624192148,0.6061556340172927,0.44090436810048533,-0.07796981310775701,-0.3623030140336682,-0.6203569458174384,-0.7312923528102614,-0.6726322205146912,0.38790463110051454,-0.4244544742727194
num_significant_peaks,0.4683640251611113,0.5140786650514335,0.3566600956310427,-0.423003919191664,0.4100283173723416,0.043902403814647495,-0.579235623267775,-0.6282477527283828,-0.4654818288018774,1.0,-0.5369984992035922,-0.423003919191664,-0.4521511235015093,-0.3656378673701775,-0.3718157271792333,-0.4521517770448244,-0.3656378673701775,-0.3718157271792333,-0.4086003738719102,-0.3776772039052371,-0.423003919191664,0.04868153946145136,0.3193891071121097,0.3575084758866247,0.4521511235015093,0.403027272933727,-0.376530273395491,0.42920161631095066
