stage,feature_a,feature_b,pair_type,pearson,spearman,abs_pearson,abs_spearman
stage1,xpr_all_db,s3_all,cp_cp,0.951423386447868,1.0,0.951423386447868,1.0
stage1,xpr_fp_db,gamma_anchor_linear,cp_cp,-0.10543081592670772,-1.0,0.10543081592670772,1.0
stage1,xpr_late_db,s3_late,cp_cp,0.9508036812111481,1.0,0.9508036812111481,1.0
stage1,fp_to_total_ratio,f_r_fp,cp_cir,0.999999999999998,1.0,0.999999999999998,1.0
stage1,fp_to_total_ratio,k_factor_estimate,cir_cir,0.9969218808752314,1.0,0.9969218808752314,1.0
stage1,k_factor_estimate,f_r_fp,cp_cir,0.9969218808732889,1.0,0.9969218808732889,1.0
stage1,xpr_fp_db,s3_fp,cp_cp,0.9689472094277947,0.9999999995555555,0.9689472094277947,0.9999999995555555
stage1,s3_fp,gamma_anchor_linear,cp_cp,-0.07342727660559789,-0.9999999995555555,0.07342727660559789,0.9999999995555555
stage1,rms_delay_spread,energy_concentration_50ns,cir_cir,-0.8589411322927426,-0.9988429429825493,0.8589411322927426,0.9988429429825493
stage1,s3_late,s3_all,cp_cp,0.9994291461577104,0.9976401606266845,0.9994291461577104,0.9976401606266845
stage1,xpr_late_db,s3_all,cp_cp,0.9472921170325096,0.9976401606266845,0.9472921170325096,0.9976401606266845
stage1,xpr_late_db,xpr_all_db,cp_cp,0.9990090790477177,0.9976401606266845,0.9990090790477177,0.9976401606266845
stage1,xpr_all_db,s3_late,cp_cp,0.953744143422908,0.9976401606266845,0.953744143422908,0.9976401606266845
stage1,kurtosis_total,skewness_total,cir_cir,0.9779625907206879,0.9927525023058336,0.9779625907206879,0.9927525023058336
stage1,s3_all,gamma_delay_linear,cp_cp,-0.13403173898115595,-0.9908833976537108,0.13403173898115595,0.9908833976537108
stage1,xpr_all_db,gamma_delay_linear,cp_cp,-0.18512833895667558,-0.9908833976537108,0.18512833895667558,0.9908833976537108
stage1,xpr_late_db,gamma_delay_linear,cp_cp,-0.18592916982111957,-0.9897259393028821,0.18592916982111957,0.9897259393028821
stage1,s3_late,gamma_delay_linear,cp_cp,-0.13443740783358926,-0.9897259393028821,0.13443740783358926,0.9897259393028821
stage1,delta_p_l_given_r_db,gamma_delay_linear,cp_cp,-0.19863739336933198,-0.9830184345576038,0.19863739336933198,0.9830184345576038
stage1,s3_all,delta_p_l_given_r_db,cp_cp,0.9365556800500888,0.9775666761740751,0.9365556800500888,0.9775666761740751
stage1,xpr_all_db,delta_p_l_given_r_db,cp_cp,0.980310535710039,0.9775666761740751,0.980310535710039,0.9775666761740751
stage1,s3_late,delta_p_l_given_r_db,cp_cp,0.9389797386996094,0.9740527824503091,0.9389797386996094,0.9740527824503091
stage1,xpr_late_db,delta_p_l_given_r_db,cp_cp,0.9788876551012824,0.9740527824503091,0.9788876551012824,0.9740527824503091
stage1,rms_delay_spread,mean_excess_delay,cir_cir,0.8618548996789683,0.9720022386669154,0.8618548996789683,0.9720022386669154
stage1,mean_excess_delay,energy_concentration_50ns,cir_cir,-0.9985355952391477,-0.9712705190300577,0.9985355952391477,0.9712705190300577
stage1,xpr_late_db,lambda_l_late_fraction,cp_cp,-0.9397653356866824,-0.9563820324868925,0.9397653356866824,0.9563820324868925
stage1,s3_late,lambda_l_late_fraction,cp_cp,-0.9876391759796571,-0.9563820324868925,0.9876391759796571,0.9563820324868925
stage1,lambda_l_late_fraction,gamma_delay_linear,cp_cp,0.14692090358443857,0.9563789320421036,0.14692090358443857,0.9563789320421036
stage1,skewness_total,peak_to_avg_ratio,cir_cir,0.9630450422532297,0.9550211710023523,0.9630450422532297,0.9550211710023523
stage1,kurtosis_total,peak_to_avg_ratio,cir_cir,0.965776524037056,0.9543577398175267,0.965776524037056,0.9543577398175267
stage1,s3_all,lambda_l_late_fraction,cp_cp,-0.9847978705081442,-0.9470067523340836,0.9847978705081442,0.9470067523340836
stage1,xpr_all_db,lambda_l_late_fraction,cp_cp,-0.9376152450523664,-0.9470067523340836,0.9376152450523664,0.9470067523340836
stage1,delta_p_l_given_r_db,lambda_l_late_fraction,cp_cp,-0.926396818913034,-0.9367481245275694,0.926396818913034,0.9367481245275694
stage1,xpr_all_db,gamma_anchor_linear,cp_cp,-0.10968858709070352,-0.9278039919782213,0.10968858709070352,0.9278039919782213
stage1,xpr_fp_db,xpr_all_db,cp_cp,0.9520285541798963,0.9278039919782213,0.9520285541798963,0.9278039919782213
stage1,xpr_fp_db,s3_all,cp_cp,0.9730545702184208,0.9278039919782213,0.9730545702184208,0.9278039919782213
stage1,s3_all,gamma_anchor_linear,cp_cp,-0.07319375163254856,-0.9278039919782213,0.07319375163254856,0.9278039919782213
stage1,s3_fp,s3_all,cp_cp,0.9884977675153138,0.9278038626448736,0.9884977675153138,0.9278038626448736
stage1,xpr_all_db,s3_fp,cp_cp,0.9236433874367793,0.9278038626448736,0.9236433874367793,0.9278038626448736
stage1,xpr_fp_db,gamma_delay_linear,cp_cp,-0.14194337091590487,-0.9262853544761505,0.14194337091590487,0.9262853544761505
stage1,gamma_anchor_linear,gamma_delay_linear,cp_cp,0.4693193276225823,0.9262853544761505,0.4693193276225823,0.9262853544761505
stage1,s3_fp,gamma_delay_linear,cp_cp,-0.10657479267713377,-0.9262852006983556,0.10657479267713377,0.9262852006983556
stage1,s3_late,gamma_anchor_linear,cp_cp,-0.0728525422808825,-0.9210581001175667,0.0728525422808825,0.9210581001175667
stage1,xpr_fp_db,xpr_late_db,cp_cp,0.9466192315122333,0.9210581001175667,0.9466192315122333,0.9210581001175667
stage1,xpr_fp_db,s3_late,cp_cp,0.971488424532899,0.9210581001175667,0.971488424532899,0.9210581001175667
stage1,xpr_late_db,gamma_anchor_linear,cp_cp,-0.1053764093433324,-0.9210581001175667,0.1053764093433324,0.9210581001175667
stage1,xpr_late_db,s3_fp,cp_cp,0.9180105356206382,0.9210579756731084,0.9180105356206382,0.9210579756731084
stage1,s3_fp,s3_late,cp_cp,0.985210937549019,0.9210579756731084,0.985210937549019,0.9210579756731084
stage1,xpr_fp_db,delta_p_l_given_r_db,cp_cp,0.9192559813954793,0.8952254016917113,0.9192559813954793,0.8952254016917113
stage1,delta_p_l_given_r_db,gamma_anchor_linear,cp_cp,-0.10994913995739188,-0.8952254016917113,0.10994913995739188,0.8952254016917113
stage1,s3_fp,delta_p_l_given_r_db,cp_cp,0.9059537017640209,0.89522517013613,0.9059537017640209,0.89522517013613
stage1,lambda_l_late_fraction,gamma_anchor_linear,cp_cp,0.04576700870058886,0.8634539523837725,0.04576700870058886,0.8634539523837725
stage1,xpr_fp_db,lambda_l_late_fraction,cp_cp,-0.9491943378005512,-0.8634539523837725,0.9491943378005512,0.8634539523837725
stage1,s3_fp,lambda_l_late_fraction,cp_cp,-0.9663262646110802,-0.8634538226059802,0.9663262646110802,0.8634538226059802
stage1,max_excess_delay,kurtosis_total,cir_cir,-0.6177661397952583,-0.8108597133371752,0.6177661397952583,0.8108597133371752
stage1,delta_p_l_given_r_db,delta_f_l_minus_r_fp,cp_cp,-0.8068346275430804,-0.8077642759738084,0.8068346275430804,0.8077642759738084
stage1,max_excess_delay,skewness_total,cir_cir,-0.7363350069337383,-0.7876935573550765,0.7363350069337383,0.7876935573550765
stage1,f_l_fp,delta_f_l_minus_r_fp,cp_cp,0.8441414612660124,0.7738413837601538,0.8441414612660124,0.7738413837601538
stage1,max_excess_delay,peak_to_avg_ratio,cir_cir,-0.6045928591436588,-0.742209079731211,0.6045928591436588,0.742209079731211
stage1,mean_excess_delay,gamma_anchor_linear,cp_cir,0.14959906574414966,0.7419178259908695,0.14959906574414966,0.7419178259908695
stage1,mean_excess_delay,xpr_fp_db,cp_cir,-0.44495407242518703,-0.7419178259908695,0.44495407242518703,0.7419178259908695
stage1,mean_excess_delay,s3_fp,cp_cir,-0.4082448604632005,-0.7419175944352883,0.4082448604632005,0.7419175944352883
stage1,delta_f_l_minus_r_fp,gamma_delay_linear,cp_cp,0.17072419601870237,0.7381526802391867,0.17072419601870237,0.7381526802391867
stage1,energy_concentration_50ns,gamma_anchor_linear,cp_cir,-0.144231794277559,-0.7312923528102614,0.144231794277559,0.7312923528102614
stage1,energy_concentration_50ns,xpr_fp_db,cp_cir,0.4390328232439695,0.7312923528102614,0.4390328232439695,0.7312923528102614
stage1,energy_concentration_50ns,s3_fp,cp_cir,0.40267242184369484,0.7312921630324626,0.40267242184369484,0.7312921630324626
stage1,rms_delay_spread,gamma_anchor_linear,cp_cir,0.12514832017189773,0.7293004210333801,0.12514832017189773,0.7293004210333801
stage1,rms_delay_spread,xpr_fp_db,cp_cir,-0.6099330957865151,-0.7293004210333801,0.6099330957865151,0.7293004210333801
stage1,rms_delay_spread,s3_fp,cp_cir,-0.5537304146280909,-0.7293002765889196,0.5537304146280909,0.7293002765889196
stage1,mean_excess_delay,peak_to_avg_ratio,cir_cir,-0.8621954344641308,-0.721510455723384,0.8621954344641308,0.721510455723384
stage1,max_excess_delay,f_r_fp,cp_cir,-0.45486736892038016,-0.6969976040066245,0.45486736892038016,0.6969976040066245
stage1,max_excess_delay,fp_to_total_ratio,cir_cir,-0.4548673689056033,-0.6969976040066245,0.4548673689056033,0.6969976040066245
stage1,max_excess_delay,k_factor_estimate,cir_cir,-0.41132662483557725,-0.6969976040066245,0.41132662483557725,0.6969976040066245
stage1,xpr_all_db,delta_f_l_minus_r_fp,cp_cp,-0.6937376219317158,-0.6958302346478038,0.6937376219317158,0.6958302346478038
