stage,cv_scheme,feature,feature_family,AUC,PR_AUC
stage2,room_label_stratified5,lambda_l_late_fraction,cp,0.6593255605913084,0.6907116580360226
stage2,room_label_stratified5,xpr_late_db,cp,0.6302741547266608,0.6718596365045935
stage2,room_label_stratified5,s3_late,cp,0.629854051035185,0.6716376473779126
stage2,room_label_stratified5,f_l_fp,cp,0.5903346496582332,0.6057443544244394
stage2,room_label_stratified5,gamma_delay_linear,cp,0.5883230943355194,0.6036862377443609
stage2,room_label_stratified5,xpr_all_db,cp,0.5854713316298541,0.6370499728649055
stage2,room_label_stratified5,s3_all,cp,0.5851154790911922,0.6367288172812802
stage2,room_label_stratified5,delta_p_l_given_r_db,cp,0.5826195689241885,0.6362823102249899
stage2,room_label_stratified5,delta_tau_l_given_r_s,cp,0.5707528752390882,0.5872573170475615
stage2,room_label_stratified5,rms_delay_spread,cir,0.5515368381513461,0.5351307153465473
stage2,room_label_stratified5,delta_f_l_minus_r_fp,cp,0.5500343496547736,0.5597519847033533
stage2,room_label_stratified5,cp_phase_residual_circvar,cp,0.5460458357839382,0.5163767745932546
stage2,room_label_stratified5,energy_concentration_50ns,cir,0.5460062966129758,0.5318499040643514
stage2,room_label_stratified5,s3_fp,cp,0.5447954095022512,0.6059582415171028
stage2,room_label_stratified5,xpr_fp_db,cp,0.5445779440619579,0.6042530233712615
stage2,room_label_stratified5,kurtosis_total,cir,0.5412022873410401,0.4949884824692636
stage2,room_label_stratified5,mean_excess_delay,cir,0.5365663195456949,0.5107730381319244
stage2,room_label_stratified5,rise_time_fp,cir,0.5328768206552629,0.5480656187576911
stage2,room_label_stratified5,skewness_total,cir,0.528050570599661,0.4876816788812254
stage2,room_label_stratified5,k_factor_estimate,cir,0.5169598331446986,0.4907726231661763
stage2,room_label_stratified5,fp_to_total_ratio,cir,0.5167621372898864,0.4902098047592139
stage2,room_label_stratified5,f_r_fp,cp,0.5167621372898864,0.4902098047592139
stage2,room_label_stratified5,num_significant_peaks,cir,0.5127167858607924,0.4971258584126658
stage2,room_label_stratified5,gamma_anchor_linear,cp,0.48718683740998653,0.5069628218803482
stage2,room_label_stratified5,max_excess_delay,cir,0.4837024479689222,0.46317593937556073
stage2,room_label_stratified5,cp_phase_slope_delay_s,cp,0.47993634193475054,0.5312476051555921
stage2,room_label_stratified5,fp_kurtosis,cir,0.47754916448789364,0.5025954946347413
stage2,room_label_stratified5,peak_to_avg_ratio,cir,0.47196425658944996,0.4543607606889023
