stage,cv_scheme,feature_set,feature_family,n_features,model,n,n_pos,AUC,PR_AUC,accuracy_at_0p5,balanced_accuracy_at_0p5,f1_at_0p5,features
stage1,stratified5,Joint_CIR12_CP16_all,joint,28,hist_gradient_boosting,3000,2120,0.8998927958833619,0.9539391844278615,0.8326666666666667,0.7709369639794168,0.8860127157129882,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;xpr_fp_db;xpr_late_db;xpr_all_db;s3_fp;s3_late;s3_all;delta_tau_l_given_r_s;delta_p_l_given_r_db;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;lambda_l_late_fraction;gamma_anchor_linear;gamma_delay_linear;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage1,stratified5,Joint_CIR12_CP_greedy,joint,18,hist_gradient_boosting,3000,2120,0.8991236063464838,0.9539785499065215,0.8283333333333334,0.7662092624356776,0.8829811406498523,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;s3_fp;s3_all;delta_f_l_minus_r_fp;cp_phase_slope_delay_s;s3_late
stage1,stratified5,Joint_CIR12_CP_greedy,joint,18,extra_trees,3000,2120,0.8986545883361923,0.9540385311452606,0.824,0.7996998284734134,0.8733205374280231,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;s3_fp;s3_all;delta_f_l_minus_r_fp;cp_phase_slope_delay_s;s3_late
stage1,stratified5,Joint_CIR12_CP16_all,joint,28,random_forest,3000,2120,0.8982423885077186,0.9551323956860829,0.8186666666666667,0.7719982847341338,0.8733705772811918,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;xpr_fp_db;xpr_late_db;xpr_all_db;s3_fp;s3_late;s3_all;delta_tau_l_given_r_s;delta_p_l_given_r_db;f_r_fp;f_l_fp;delta_f_l_minus_r_fp;lambda_l_late_fraction;gamma_anchor_linear;gamma_delay_linear;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage1,stratified5,Joint_CIR12_CP_pruned6,joint,18,random_forest,3000,2120,0.8978398370497428,0.9548849581124859,0.8266666666666667,0.7833083190394512,0.8786747550163323,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;gamma_anchor_linear;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage1,stratified5,Joint_CIR12_CP_greedy,joint,18,random_forest,3000,2120,0.8978039236706689,0.9524912406897896,0.8253333333333334,0.7826972555746141,0.8775700934579439,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;s3_fp;s3_all;delta_f_l_minus_r_fp;cp_phase_slope_delay_s;s3_late
stage1,stratified5,Joint_CIR12_CP_pruned6,joint,18,hist_gradient_boosting,3000,2120,0.8967817324185249,0.9539232107079714,0.826,0.7622319897084048,0.881578947368421,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;gamma_anchor_linear;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s;cp_phase_residual_circvar
stage1,stratified5,Joint_CIR12_CP_low_overlap4,joint,16,hist_gradient_boosting,3000,2120,0.8951763507718695,0.952852982549319,0.8223333333333334,0.7609669811320755,0.8785600364547733,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s
stage1,stratified5,Joint_CIR12_CP_late_energy5,joint,17,extra_trees,3000,2120,0.8948944039451115,0.9535108529904268,0.8103333333333333,0.7893653516295025,0.8622609537642217,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;xpr_late_db;s3_late;lambda_l_late_fraction;gamma_delay_linear;xpr_all_db
stage1,stratified5,Joint_CIR12_CP_low_overlap4,joint,16,random_forest,3000,2120,0.893932783018868,0.9520644692595607,0.8206666666666667,0.7757397084048028,0.8745335820895522,rms_delay_spread;mean_excess_delay;max_excess_delay;fp_to_total_ratio;rise_time_fp;fp_kurtosis;kurtosis_total;skewness_total;energy_concentration_50ns;num_significant_peaks;peak_to_avg_ratio;k_factor_estimate;delta_tau_l_given_r_s;gamma_delay_linear;lambda_l_late_fraction;cp_phase_slope_delay_s
