case_id,anchor_height,tag_height,tag_x,tag_y,eps_r,tan_delta,xpol_coupling_db,ar_edge_db,snr_db,slab_size_m,material_name,antenna_type,slab_placement_cases_tbl,los_distance_m,los_angle_from_anchor_bore_deg_cases_tbl,los_angle_from_tag_bore_deg_cases_tbl,tx_height,rx_height,incidence_deg,los_blockage,num_slabs,slab_tilt_deg,idx_fp,t_fp_s,fp_peak_val,fp_method,primary_tx_port,primary_rx_port,tx_handedness,gamma_cp_same_tx_port,gamma_cp_same_rx_port,gamma_cp_reversed_rx_port,gamma_cp_1_freq_avg,gamma_cp_2_freq_db,gamma_cp_3_fp_only,gamma_cp_6_phase_circvar,a_fp_2_peak_to_total,a_fp_6_fp_to_2nd_peak,rms_delay_spread,mean_excess_delay,max_excess_delay,fp_to_total_ratio,rise_time_fp,fp_kurtosis,kurtosis_total,skewness_total,energy_concentration_50ns,num_significant_peaks,peak_to_avg_ratio,k_factor_estimate,failed,error_msg,num_paths,bounce_count_min,bounce_count_max,has_los_path,is_los,is_nlos,tx_rx_dist_m,material_kind,los_strength_mid,max_bounce_strength_mid,bounce_to_los_ratio_mid,dominant_bounce_count,los_angle_from_anchor_bore_deg_results_tbl,los_angle_from_tag_bore_deg_results_tbl,slab_placement_results_tbl
1,2.32910519091432,0.570497087042765,1.68763935031638,-0.0506137628212489,2.72737830250324,0.0131857971806087,37.8049615705621,9.38289293413515,23.4102620604224,2.07017043531163,glass,ideal,wall_x,2.43790705169946,43.8331388797446,43.8331388797446,2.32910519091432,0.570497087042765,43.8331388797446,0,1,0,13,5.97665369649805e-09,0.0478946378884787,leading_edge,1,1,R,1,1,2,0.164711716723323,-15.6802225681331,0.0133210765207963,0.0214916378446269,0.0320150069974742,0.442393547023947,1.38110631657415e-08,2.75533745635092e-09,4.48249027237354e-09,0.217414449445985,9.96108949416347e-10,1.63922695236516,120.961181301992,10.6543422775258,0.997788850945702,1,168.162497495655,0.277815568268634,0,,2,0,1,1,1,0,2.43790705169946,dielectric,0.00212909645346824,0.000343758442969625,0.161457430643713,0,43.8331388797446,43.8331388797446,wall_x
2,2.4676201201567,1.30142351206348,0.688574763431147,0.327837976262958,3.64184376002291,0.00245401536214157,20.8793835155369,13.9537677643709,11.383687822755,4.35003184914574,metal_pec,ideal,wall_x,1.39342293372924,33.1827226205072,33.1827226205072,2.4676201201567,1.30142351206348,33.1827226205072,0,1,0,6,2.49027237354086e-09,0.0831412523280969,leading_edge,1,1,R,1,1,2,0.181573431572418,-15.4649626694738,0.0180443140276779,0.119377130991246,0.0297395300034266,0.453323068283006,5.66649894692661e-08,1.26441668406986e-08,4.48249027237354e-09,0.198062682619992,1.49416342412452e-09,1.63892038988686,102.637035373489,9.56459877124242,0.966850405454651,2,148.768702819695,0.246980254350899,0,,2,0,1,1,0,1,1.39342293372924,PEC,0.00372502786628252,0.00116374507435731,0.312412447941952,0,33.1827226205072,33.1827226205072,wall_x
3,2.86136621971301,1.17932911355492,1.15002985066952,1.14674324799419,4.86357583731404,0.00832030100937734,36.5198687735145,10.7447655215858,31.0695196339561,3.54043803761369,glass,patch,floor,2.33812693426681,43.9954370281087,43.9954370281087,2.86136621971301,1.17932911355492,43.9954370281087,0,1,0,12,5.47859922178988e-09,4.5303723242984,leading_edge,1,1,R,1,1,2,0.384979554807587,-8.32188200367692,0.464774505365041,0.00138794830355837,0.0181334995857067,0.333331220406309,5.11308077079088e-09,2.61975872872027e-09,4.98054474708171e-09,0.146409342442751,9.96108949416347e-10,1.67604199941148,118.449678126061,10.5040413436943,0.999729383368411,1,167.773265116212,0.171521725485769,0,,2,0,1,1,0,1,2.33812693426681,dielectric,0.00221995614591651,0.000448982903475636,0.202248546351474,0,43.9954370281087,43.9954370281087,floor
4,2.5821304127802,0.383845181979764,-1.44295822272691,-0.914129529744388,5.82146696243533,0.0118048068601284,37.2003443260765,5.00092394927119,18.2401243386754,3.81969566940618,wood,patch,ceiling,2.78392154803997,37.8484732419704,37.8484732419704,2.5821304127802,0.383845181979764,37.8484732419704,0,1,0,15,6.9727626459144e-09,0.665283742231484,leading_edge,1,1,R,1,1,2,0.815204060750603,-2.16131627888622,0.732885418299106,0.00040192732335842,0.0185499351932928,0.348044505945741,2.02535359078892e-08,3.92578996561896e-09,4.98054474708171e-09,0.142603053990153,9.96108949416347e-10,1.67242009431496,111.667921932974,10.2116223546068,0.994692785142411,1,157.42218865941,0.166320925976934,0,,2,0,1,1,0,1,2.78392154803997,dielectric,0.00186447037680101,0.000594652487452767,0.318939091149867,0,37.8484732419704,37.8484732419704,ceiling
5,2.88122196143249,1.06590786059998,-1.07337026362936,0.481302071029648,4.15438927353458,0.0484843171063922,28.3492340003549,10.6048234387044,29.7891570651175,4.46420469024411,ceramic_tile,ideal,floor,2.16313214832163,32.943599729336,32.943599729336,2.88122196143249,1.06590786059998,32.943599729336,0,1,0,11,4.98054474708171e-09,0.053782557271923,leading_edge,1,1,R,1,1,2,0.0217370884178534,-33.5033110954212,0.00454671442838907,0.0472472355542044,0.0274256808922635,0.418019397936479,7.45311232770878e-09,2.60185679708073e-09,4.48249027237354e-09,0.193153172821262,9.96108949416347e-10,1.64644371346839,113.940913046656,10.2298050169411,0.999502656639832,2,161.34579911269,0.239392616187947,0,,2,0,1,1,1,0,2.16313214832163,dielectric,0.00239954792483939,0.000431841144457054,0.179967709745142,0,32.943599729336,32.943599729336,floor
6,2.2850461892223,0.28071261564137,0.560656718897279,-0.00415460164403547,7.28161204797796,0.0200484054797111,22.0254083062001,8.09732671379372,21.2382417359545,1.58008503545881,drywall,patch,wall_x,2.08127515993037,15.6278971117965,15.6278971117965,2.2850461892223,0.28071261564137,15.6278971117965,0,1,0,13,5.97665369649805e-09,0.0652387521006252,leading_edge,1,1,R,1,1,2,8.68721235593076,13.139705584193,1.41951279668998,0.00255263140425255,0.0135260273072994,0.334499310561022,7.08760017888801e-08,2.59384556479484e-08,1.29494163424125e-08,0.060477876013123,5.97665369649808e-09,2.0063488567417,87.3485606641149,8.76569367837967,0.934001153865708,2,124.271894918028,0.0643708907635769,0,,2,0,1,1,1,0,2.08127515993037,dielectric,0.00249392264780222,0.000491514778378355,0.197085013366996,0,15.6278971117965,15.6278971117965,wall_x
7,2.06747687658534,1.36397570100531,-1.48662008671966,0.621436481218676,2.45164099416243,0.00224627446173771,38.7097893534282,13.7562710241806,24.9344463885852,1.48524777676536,drywall,patch,wall_y,1.75816281568867,66.4134280717721,66.4134280717721,2.06747687658534,1.36397570100531,66.4134280717721,0,1,0,8,3.4863813229572e-09,0.132339174730563,leading_edge,1,1,R,1,1,2,1.79068735770348,4.49801447776735,1.37746173312847,0.0272108584584012,0.0277530757267879,0.418023809849318,1.76941168851306e-08,3.26976937199806e-09,4.48249027237354e-09,0.1929282466223,9.96108949416347e-10,1.64985577225519,118.079168407618,10.5203985468039,0.996461895566919,1,163.268422718513,0.239047204681455,0,,2,0,1,1,1,0,1.75816281568867,dielectric,0.00295225175469623,0.000245544583037461,0.0831719661600223,0,66.4134280717721,66.4134280717721,wall_y
8,2.40021446723572,0.850031642937667,0.946268381439574,1.59026779912621,3.08405552769463,0.00106179662159167,31.3038028130226,14.6937574260783,39.5785833934182,2.80979190622562,concrete,patch,floor,2.41400959223419,50.0468504565504,50.0468504565504,2.40021446723572,0.850031642937667,50.0468504565504,0,1,0,13,5.97665369649805e-09,1.04746505910921,leading_edge,1,1,R,1,1,2,0.597224519578491,-4.50040468209975,0.726201780323547,0.00103017422998819,0.0292084063812836,0.42050707773313,3.11883877804138e-09,2.29601466395976e-09,4.48249027237354e-09,0.205312067768883,9.96108949416347e-10,1.64657991789112,120.540780373336,10.5629456918745,0.999936209851511,2,169.806518199264,0.258355587699012,0,,2,0,1,1,1,0,2.41400959223419,dielectric,0.00215017341867918,0.000385287745359401,0.179189149122714,0,50.0468504565504,50.0468504565504,floor
9,2.640376302174,1.19402879874818,-1.3265938977341,1.50431077066213,8.15009252486213,0.00219092039063303,25.5257429889258,14.8511021026523,35.660958906532,3.62369710805148,concrete,patch,wall_x,2.47279666873392,54.2038247756227,54.2038247756227,2.640376302174,1.19402879874818,54.2038247756227,0,1,0,24,1.14552529182879e-08,0.156992803575398,leading_edge,1,1,R,1,1,2,1.01478904228414,0.234556897951464,1.00177399749896,0.00211883647087607,0.0171486948155855,0.332116451039924,5.64642837099482e-09,2.63942966904845e-09,4.98054474708171e-09,0.130348631674128,5.97665369649808e-09,1.75636990735542,111.074177956578,10.10189131722,0.999655952312575,2,159.824520188855,0.149886076675826,0,,2,0,1,1,0,1,2.47279666873392,dielectric,0.00209905623187211,0.000593143709235071,0.282576378959632,0,54.2038247756227,54.2038247756227,wall_x
10,2.62813786624412,0.157199450630262,1.92452078400354,0.0906453545777106,3.92238049052123,0.00607140197586156,33.6125954085659,13.224439296627,31.4746617086661,4.16848476232568,metal_pec,ideal,wall_x,3.13329434974189,37.944460014041,37.944460014041,2.62813786624412,0.157199450630262,37.944460014041,0,1,0,17,7.96887159533074e-09,0.0387774832624214,leading_edge,1,1,R,1,1,2,0.029391046694604,-33.2608306259753,0.00159169596178208,0.406776580191868,0.00980396216799556,0.315291238988788,4.78533384373745e-09,3.91001270445113e-09,7.96887159533074e-09,0.078703733074492,9.96108949416347e-10,1.67776555731146,70.733172510655,8.16735155003556,0.999784849756774,1,101.38435324824,0.085427170281648,0,,2,0,1,1,0,1,3.13329434974189,PEC,0.00165657569263677,0.00122912544727037,0.741967573672393,0,37.944460014041,37.944460014041,wall_x
