subset,antenna_type,los_blockage,n,n_los,n_nlos,mean_gamma_los,mean_gamma_nlos,auc_gamma_cp_3
ideal_ceiling,ideal,NaN,27,4,23,0.00488990579908333,0.0158111648457369,0.728260869565217
ideal_floor,ideal,NaN,24,10,14,0.0133868042411644,0.0115846591181733,0.435714285714286
ideal_wall_x,ideal,NaN,27,10,17,0.0151030570111153,0.0167227076815348,0.564705882352941
ideal_wall_y,ideal,NaN,22,9,13,0.00817480351461246,0.0122361835621138,0.615384615384615
patch_ceiling,patch,NaN,23,4,19,1.02062511414411,0.614700555125361,0.368421052631579
patch_floor,patch,NaN,26,8,18,0.598108357310016,1.02565813735447,0.659722222222222
patch_wall_x,patch,NaN,23,8,15,0.705345973167441,1.07348170618964,0.683333333333333
patch_wall_y,patch,NaN,28,11,17,0.87316415941586,1.00942237009454,0.401069518716578
ideal_all,ideal,NaN,100,33,67,0.0114554990106255,0.0144656482985067,0.57123473541384
patch_all,patch,NaN,100,31,69,0.777901317870018,0.918892216003104,0.526414212248714
