subset,n,n_los,n_nlos,mean_gamma_los,mean_gamma_nlos,auc_gamma_cp_3
"ideal_all",100,33,67,0.0114554990106255,0.0144656482985067,0.57123473541384
"patch_ffd_all",100,31,69,0.708444361280229,1.04267905050716,0.620383356708742
"patch_ffd_ceiling",23,4,19,0.799139849216078,0.786177656822535,0.460526315789474
"patch_ffd_floor",26,8,18,0.551643594539144,1.10805360682174,0.666666666666667
"patch_ffd_wall_x",23,8,15,0.752687646731301,1.20213128142322,0.683333333333333
"patch_ffd_wall_y",28,11,17,0.757324170241748,1.11944381536624,0.614973262032086
"patch_ffd_angle_bin1_[0.4,37.1]",25,11,14,0.875378440408714,1.13539778382792,0.487012987012987
"patch_ffd_angle_bin2_[37.1,43.1]",25,7,18,0.715224910997439,0.832469181364461,0.5
"patch_ffd_angle_bin3_[43.1,52.0]",25,5,20,0.939881487362916,1.39030049848808,0.63
"patch_ffd_angle_bin4_[52.0,73.5]",25,8,17,0.328328817674323,0.779931192769484,0.897058823529412
