room_type,feature,auc
A,energy_concentration_50ns,0.725714285714286
A,gamma_cp_6_phase_circvar,0.671428571428571
A,rise_time_fp,0.598571428571429
A,gamma_cp_1_freq_avg,0.58
A,max_excess_delay,0.571428571428571
A,gamma_cp_2_freq_db,0.562857142857143
A,gamma_cp_3_fp_only,0.554285714285714
A,fp_kurtosis,0.548571428571429
A,a_fp_6_fp_to_2nd_peak,0.451428571428571
A,skewness_total,0.428571428571429
A,kurtosis_total,0.402857142857143
A,num_significant_peaks,0.401428571428571
A,a_fp_2_peak_to_total,0.394285714285714
A,mean_excess_delay,0.371428571428571
A,peak_to_avg_ratio,0.362857142857143
A,fp_to_total_ratio,0.36
A,k_factor_estimate,0.36
A,rms_delay_spread,0.231428571428571
B,rise_time_fp,0.722222222222222
B,gamma_cp_6_phase_circvar,0.683574879227053
B,rms_delay_spread,0.64975845410628
B,gamma_cp_1_freq_avg,0.647342995169082
B,mean_excess_delay,0.644927536231884
B,max_excess_delay,0.6243961352657
B,gamma_cp_2_freq_db,0.579710144927536
B,fp_kurtosis,0.57487922705314
B,gamma_cp_3_fp_only,0.545893719806763
B,num_significant_peaks,0.419082125603865
B,skewness_total,0.415458937198068
B,kurtosis_total,0.408212560386473
B,a_fp_2_peak_to_total,0.359903381642512
B,peak_to_avg_ratio,0.347826086956522
B,fp_to_total_ratio,0.345410628019324
B,k_factor_estimate,0.345410628019324
B,a_fp_6_fp_to_2nd_peak,0.345410628019324
B,energy_concentration_50ns,0.326086956521739
C,rise_time_fp,0.761428571428571
C,max_excess_delay,0.75
C,gamma_cp_6_phase_circvar,0.717142857142857
C,gamma_cp_1_freq_avg,0.648571428571429
C,a_fp_6_fp_to_2nd_peak,0.602857142857143
C,gamma_cp_2_freq_db,0.568571428571429
C,energy_concentration_50ns,0.545714285714286
C,num_significant_peaks,0.444285714285714
C,rms_delay_spread,0.44
C,a_fp_2_peak_to_total,0.414285714285714
C,mean_excess_delay,0.397142857142857
C,fp_to_total_ratio,0.397142857142857
C,k_factor_estimate,0.397142857142857
C,gamma_cp_3_fp_only,0.365714285714286
C,skewness_total,0.348571428571429
C,fp_kurtosis,0.331428571428571
C,kurtosis_total,0.322857142857143
C,peak_to_avg_ratio,0.274285714285714
